name,value,iata_code
Hong Kong Int'l,5049.898,HKG
Memphis Int'l,4336.752,MEM
Shanghai Pudong Int'l,3824.28,PVG
Incheon Int'l,2921.691,ICN
Anchorage Int'l,2713.23,ANC
