,port_name,iso3,country_name,latitude,longitude,harborsize,harbortype,railway,top_20_busiest_ports,busiest_ports_ranking,amount_shipped_through,code,busiest_ukports
0,SHAKOTAN,RUS,Russia,43.866667,146.833333,V,coastal,None,0,0,0,SHAKOTAN,0
1,MOMBETSU KO,JPN,Japan,44.35,143.35,V,coastal,None,0,0,0,MOMBETSU KO,0
2,ABASHIRI KO,JPN,Japan,44.016667,144.283333,S,coastal,None,0,0,0,ABASHIRI KO,0
3,NEMURO KO,JPN,Japan,43.333333,145.583333,S,coastal,None,0,0,0,NEMURO KO,0
4,HANASAKI KO,JPN,Japan,43.283333,145.583333,V,coastal,None,0,0,0,HANASAKI KO,0
5,KUSHIRO KO,JPN,Japan,42.983333,144.366667,M,coastal,M,0,0,0,KUSHIRO KO,0
6,TOMAKOMAI KO,JPN,Japan,42.633333,141.633333,S,coastal,None,0,0,0,TOMAKOMAI KO,0
7,MURORAN KO,JPN,Japan,42.35,140.966667,M,coastal,L,0,0,0,MURORAN KO,0
8,MORI,JPN,Japan,42.116667,140.583333,V,other,None,0,0,0,MORI,0
9,HAKODATE KO,JPN,Japan,41.783333,140.716667,M,coastal,L,0,0,0,HAKODATE KO,0
10,ESASI KO,JPN,Japan,41.866667,140.116667,V,coastal,None,0,0,0,ESASI KO,0
11,OTARU KO,JPN,Japan,43.2,141.016667,M,coastal,S,0,0,0,OTARU KO,0
12,RUMOI KO,JPN,Japan,43.95,141.633333,V,coastal,S,0,0,0,RUMOI KO,0
13,WAKKANAI,JPN,Japan,43.416667,141.683333,S,coastal,S,0,0,0,WAKKANAI,0
14,AOMORI KO,JPN,Japan,40.833333,140.75,S,coastal,None,0,0,0,AOMORI KO,0
15,HACHINOHE KO,JPN,Japan,40.533333,141.55,S,coastal,M,0,0,0,HACHINOHE KO,0
16,MIYAKO,JPN,Japan,39.633333,141.983333,S,coastal,S,0,0,0,MIYAKO,0
17,KAMAISHI KO,JPN,Japan,39.266667,141.9,S,coastal,M,0,0,0,KAMAISHI KO,0
18,OFUNATO,JPN,Japan,39.05,141.733333,S,coastal,S,0,0,0,OFUNATO,0
19,KESENNUMA KO,JPN,Japan,38.866667,141.6,V,coastal,S,0,0,0,KESENNUMA KO,0
20,ONAGAWA,JPN,Japan,38.45,141.45,V,coastal,S,0,0,0,ONAGAWA,0
21,ISHINOMAKI KO,JPN,Japan,38.4,141.316667,V,coastal,S,0,0,0,ISHINOMAKI KO,0
22,SENDAI-SHIOGAMA,JPN,Japan,38.316667,141.033333,S,coastal,None,0,0,0,SENDAI-SHIOGAMA,0
23,ONAHAMA KO,JPN,Japan,36.933333,140.9,S,coastal,M,0,0,0,ONAHAMA KO,0
24,HITACHI,JPN,Japan,36.5,140.633333,V,river,None,0,0,0,HITACHI,0
25,KASHIMA KO,JPN,Japan,35.933333,140.7,S,coastal,None,0,0,0,KASHIMA KO,0
26,CHOSHI,JPN,Japan,35.733333,140.85,V,river,None,0,0,0,CHOSHI,0
27,TATEYAMA KO,JPN,Japan,35.0,139.8,V,coastal,S,0,0,0,TATEYAMA KO,0
28,KISARAZU KO,JPN,Japan,35.366667,139.883333,V,coastal,S,0,0,0,KISARAZU KO,0
29,CHIBA KO,JPN,Japan,35.583333,140.066667,S,coastal,S,0,0,0,CHIBA KO,0
30,KATSUNAN KO,JPN,Japan,35.666667,139.983333,S,coastal,S,0,0,0,KATSUNAN KO,0
31,KAWASAKI KO,JPN,Japan,35.5,139.766667,L,coastal,M,0,0,0,KAWASAKI KO,0
32,YOKOHAMA KO,JPN,Japan,35.45,139.583333,L,coastal,S,0,0,0,YOKOHAMA KO,0
33,MYS ROGATYY OKTYABRSKIY,RUS,Russia,50.733333,142.1,V,other,None,0,0,0,MYS ROGATYY OKTYABRSKIY,0
34,POHANG,KOR,South Korea,36.05,129.383333,S,other,None,0,0,0,POHANG,0
35,MUKHO,KOR,South Korea,37.566667,129.116667,V,coastal,M,0,0,0,MUKHO,0
36,SOKCH'O HANG,KOR,South Korea,38.2,128.6,V,coastal,None,0,0,0,SOKCH'O HANG,0
37,RICHARDS BAY,ZAF,South Africa,-28.816667,32.083333,M,coastal,None,0,0,0,RICHARDS BAY,0
38,MAPUTO,MOZ,Mozambique,-25.966667,32.583333,M,lake,S,0,0,0,MAPUTO,0
39,CHINDE,MOZ,Mozambique,-18.566667,36.5,S,river,None,0,0,0,CHINDE,0
40,QUELIMANE,MOZ,Mozambique,-17.883333,36.883333,V,river,None,0,0,0,QUELIMANE,0
41,MOCAMBIQUE,MOZ,Mozambique,-15.033333,40.733333,S,coastal,None,0,0,0,MOCAMBIQUE,0
42,NACALA,MOZ,Mozambique,-14.533333,40.666667,V,coastal,S,0,0,0,NACALA,0
43,MIKINDANI,TZA,Tanzania,-10.266667,40.133333,V,coastal,None,0,0,0,MIKINDANI,0
44,MTWARA,TZA,Tanzania,-10.266667,40.2,V,coastal,None,0,0,0,MTWARA,0
45,DAR ES SALAAM,TZA,Tanzania,-6.816667,39.3,M,coastal,S,0,0,0,DAR ES SALAAM,0
46,CHAKE CHAKE,TZA,Tanzania,-5.25,39.766667,S,coastal,None,0,0,0,CHAKE CHAKE,0
47,MOMBASA,KEN,Kenya,-4.066667,39.666667,M,coastal,L,0,0,0,MOMBASA,0
48,KILIFI,KEN,Kenya,-3.633333,39.866667,V,other,None,0,0,0,KILIFI,0
49,MALINDI,KEN,Kenya,-3.216667,40.133333,S,coastal,None,0,0,0,MALINDI,0
50,MARKA,SOM,Somalia,1.716667,44.783333,V,other,None,0,0,0,MARKA,0
51,MUQDISHO,SOM,Somalia,2.033333,45.35,L,coastal,None,0,0,0,MUQDISHO,0
52,FOMBONI,COM,Comoros,-12.266667,43.75,V,other,None,0,0,0,FOMBONI,0
53,MOUTSAMOUDU,COM,Comoros,-12.15,44.4,V,other,None,0,0,0,MOUTSAMOUDU,0
54,MAHAJANGA,MDG,Madagascar,-15.716667,46.3,V,coastal,None,0,0,0,MAHAJANGA,0
55,SALDANHA BAY,ZAF,South Africa,-33.033333,17.966667,M,coastal,M,0,0,0,SALDANHA BAY,0
56,CAPE TOWN,ZAF,South Africa,-33.916667,18.416667,L,coastal,L,0,0,0,CAPE TOWN,0
57,OKRIKA,NGA,Nigeria,4.716667,7.083333,V,river,None,0,0,0,OKRIKA,0
58,PORT HARCOURT,NGA,Nigeria,4.766667,7.0,V,river,M,0,0,0,PORT HARCOURT,0
59,ANTAN OIL TERMINAL,NGA,Nigeria,4.216667,8.333333,S,other,None,0,0,0,ANTAN OIL TERMINAL,0
60,CALABAR,NGA,Nigeria,4.966667,8.316667,V,river,None,0,0,0,CALABAR,0
61,UIG,GBR,United Kingdom,57.583333,-6.35,V,coastal,None,0,0,0,UIG,0
62,LOCHMADDY,GBR,United Kingdom,57.6,-7.166667,V,coastal,None,0,0,0,LOCHMADDY,0
63,CASTLE BAY,GBR,United Kingdom,56.95,-7.483333,V,coastal,None,0,0,0,CASTLE BAY,0
64,LOCHBOISDALE,GBR,United Kingdom,57.15,-7.3,V,coastal,None,0,0,0,LOCHBOISDALE,0
65,STORNOWAY HARBOR,GBR,United Kingdom,58.183333,-6.366667,V,coastal,None,0,0,0,STORNOWAY HARBOR,0
66,TARBERT,GBR,United Kingdom,57.9,-6.816667,V,coastal,S,0,0,0,TARBERT,0
67,MACDUFF,GBR,United Kingdom,57.666667,-2.5,V,coastal,None,0,0,0,MACDUFF,0
68,SEAHAM,GBR,United Kingdom,54.833333,-1.316667,S,coastal,M,0,0,0,SEAHAM,0
69,SUNDERLAND,GBR,United Kingdom,54.916667,-1.366667,M,river,M,0,0,0,SUNDERLAND,0
70,TYNEMOUTH,GBR,United Kingdom,55.0,-1.4,M,river,S,0,0,0,TYNEMOUTH,0
71,BLYTH,GBR,United Kingdom,55.116667,-1.5,M,river,None,0,0,0,BLYTH,0
72,WARKWORTH HARBOUR,GBR,United Kingdom,55.333333,-1.583333,V,river,S,0,0,0,WARKWORTH HARBOUR,0
73,BERWICK-UPON-TWEED,GBR,United Kingdom,55.766667,-2.0,V,river,S,0,0,0,BERWICK-UPON-TWEED,0
74,EYEMOUTH,GBR,United Kingdom,55.866667,-2.083333,V,river,None,0,0,0,EYEMOUTH,0
75,DUNBAR,GBR,United Kingdom,56.0,-2.516667,V,coastal,None,0,0,0,DUNBAR,0
76,LEITH,GBR,United Kingdom,55.983333,-3.183333,M,river,S,0,0,0,LEITH,0
77,GRANTON,GBR,United Kingdom,55.983333,-3.216667,V,coastal,None,0,0,0,GRANTON,0
78,BRAEFOOT BAY TERMINAL,GBR,United Kingdom,56.033333,-3.316667,S,other,S,0,0,0,BRAEFOOT BAY TERMINAL,0
79,HOUND POINT TERMINAL,GBR,United Kingdom,56.0,-3.366667,S,other,S,0,0,0,HOUND POINT TERMINAL,0
80,ROSYTH,GBR,United Kingdom,56.016667,-3.433333,S,river,None,0,0,0,ROSYTH,0
81,GRANGEMOUTH,GBR,United Kingdom,56.016667,-3.716667,S,river,L,0,0,0,GRANGEMOUTH,0
82,BURNTISLAND,GBR,United Kingdom,56.05,-3.233333,S,coastal,S,0,0,0,BURNTISLAND,0
83,METHIL,GBR,United Kingdom,56.183333,-3.0,S,coastal,S,0,0,0,METHIL,0
84,DUNDEE,GBR,United Kingdom,56.466667,-2.95,L,river,None,0,0,0,DUNDEE,0
85,PERTH,GBR,United Kingdom,56.4,-3.45,S,river,None,0,0,0,PERTH,0
86,MONTROSE,GBR,United Kingdom,56.7,-2.466667,V,river,None,0,0,0,MONTROSE,0
87,ABERDEEN,GBR,United Kingdom,57.15,-2.083333,M,river,None,0,0,0,ABERDEEN,0
88,PETERHEAD,GBR,United Kingdom,57.5,-1.783333,M,coastal,None,0,0,0,PETERHEAD,0
89,FRASERBURGH HARBOR,GBR,United Kingdom,57.683333,-2.0,S,coastal,M,0,0,0,FRASERBURGH HARBOR,0
90,TEESPORT,GBR,United Kingdom,54.65,-1.133333,L,river,M,0,0,0,TEESPORT,0
91,HARTLEPOOL,GBR,United Kingdom,54.7,-1.183333,S,coastal,None,0,0,0,HARTLEPOOL,0
92,DORDRECHT,NLD,Netherlands,51.816667,4.65,M,river,S,0,0,0,DORDRECHT,0
93,VLISSINGEN,NLD,Netherlands,51.45,3.6,M,river,S,0,0,0,VLISSINGEN,0
94,TERNEUZEN,NLD,Netherlands,51.35,3.816667,M,river,M,0,0,0,TERNEUZEN,0
95,ANTWERPEN,BEL,Belgium,51.216667,4.4,L,river,None,1,13,10451,ANTWERPEN,0
96,BRUXELLES,BEL,Belgium,50.866667,4.35,S,river,S,0,0,0,BRUXELLES,0
97,GHENT,BEL,Belgium,51.066667,3.733333,M,lake,M,0,0,0,GHENT,0
98,ZEEBRUGGE,BEL,Belgium,51.333333,3.2,M,coastal,L,0,0,0,ZEEBRUGGE,0
99,BRUGES,BEL,Belgium,51.233333,3.216667,V,lake,S,0,0,0,BRUGES,0
100,OOSTENDE,BEL,Belgium,51.233333,2.916667,S,river,M,0,0,0,OOSTENDE,0
101,NIEUWPOORT,BEL,Belgium,51.133333,2.75,V,lake,S,0,0,0,NIEUWPOORT,0
102,WONSAN,PRK,North Korea,39.166667,127.45,S,coastal,M,0,0,0,WONSAN,0
103,HUNGNAM,PRK,North Korea,39.833333,127.616667,S,coastal,M,0,0,0,HUNGNAM,0
104,CH'AHO,PRK,North Korea,40.2,128.65,V,coastal,S,0,0,0,CH'AHO,0
105,CH'ONGJIN,PRK,North Korea,41.766667,129.816667,S,coastal,M,0,0,0,CH'ONGJIN,0
106,POS'YET,RUS,Russia,42.65,130.8,V,coastal,S,0,0,0,POS'YET,0
107,VLADIVOSTOK,RUS,Russia,43.116667,131.9,L,coastal,None,0,0,0,VLADIVOSTOK,0
108,BUKHTA GAYDAMAK,RUS,Russia,42.866667,132.683333,V,coastal,None,0,0,0,BUKHTA GAYDAMAK,0
109,NAKHODKA,RUS,Russia,42.8,132.883333,S,coastal,None,0,0,0,NAKHODKA,0
110,SOVETSKAYA GAVAN,RUS,Russia,48.966667,140.283333,S,coastal,S,0,0,0,SOVETSKAYA GAVAN,0
111,BUKHTA VANINO,RUS,Russia,49.083333,140.283333,V,coastal,None,0,0,0,BUKHTA VANINO,0
112,DE KASTRI,RUS,Russia,51.466667,140.783333,M,coastal,None,0,0,0,DE KASTRI,0
113,NIKOLAYEVSK NA AMUR,RUS,Russia,53.133333,140.733333,V,river,None,0,0,0,NIKOLAYEVSK NA AMUR,0
114,OKHA,RUS,Russia,53.55,143.0,V,coastal,None,0,0,0,OKHA,0
115,PORONAYSK,RUS,Russia,49.216667,143.133333,V,other,None,0,0,0,PORONAYSK,0
116,KORSAKOV,RUS,Russia,46.616667,142.766667,S,coastal,S,0,0,0,KORSAKOV,0
117,NEVELSK,RUS,Russia,46.666667,141.866667,V,coastal,S,0,0,0,NEVELSK,0
118,KHOLMSK,RUS,Russia,47.05,142.05,S,coastal,M,0,0,0,KHOLMSK,0
119,UGLEGORSK,RUS,Russia,49.083333,142.033333,V,other,S,0,0,0,UGLEGORSK,0
120,LESOGORSK,RUS,Russia,49.45,142.133333,V,other,None,0,0,0,LESOGORSK,0
121,MASAN,KOR,South Korea,35.183333,128.566667,M,coastal,S,0,0,0,MASAN,0
122,PUSAN,KOR,South Korea,35.1,129.033333,L,coastal,M,1,6,20493,PUSAN,0
123,ULSAN,KOR,South Korea,35.45,129.4,M,river,M,0,0,0,ULSAN,0
124,WENZHOU,CHN,China,28.016667,120.65,M,river,None,0,0,0,WENZHOU,0
125,ZHEN HAI,CHN,China,29.95,121.7,V,river,M,0,0,0,ZHEN HAI,0
126,ZHOUSHAN,CHN,China,30.0,122.1,S,coastal,None,0,0,0,ZHOUSHAN,0
127,JIANGYIN,CHN,China,31.916667,120.233333,S,river,None,0,0,0,JIANGYIN,0
128,GAOGANG,CHN,China,32.283333,119.85,S,river,None,0,0,0,GAOGANG,0
129,YANGZHOU,CHN,China,32.266667,119.433333,S,river,None,0,0,0,YANGZHOU,0
130,ZHENJIANG,CHN,China,32.216667,119.433333,S,river,M,0,0,0,ZHENJIANG,0
131,NANJING,CHN,China,32.083333,118.75,V,river,S,0,0,0,NANJING,0
132,WU HU,CHN,China,31.333333,118.366667,S,river,None,0,0,0,WU HU,0
133,ANKINGCHENG,CHN,China,30.516667,117.033333,V,river,S,0,0,0,ANKINGCHENG,0
134,HANKOW,CHN,China,30.583333,114.283333,M,river,None,0,0,0,HANKOW,0
135,WANXIAN,CHN,China,30.816667,108.433333,V,river,S,0,0,0,WANXIAN,0
136,CHUNG CHING,CHN,China,29.566667,106.633333,V,river,None,0,0,0,CHUNG CHING,0
137,LIANYUNGANG,CHN,China,34.733333,119.45,S,coastal,M,0,0,0,LIANYUNGANG,0
138,QINGDAO GANG,CHN,China,36.033333,120.266667,L,other,S,1,8,18262,QINGDAO GANG,0
139,DOUALA,CMR,Cameroon,4.05,9.683333,M,river,L,0,0,0,DOUALA,0
140,KOLE OIL TERMINAL,CMR,Cameroon,4.25,8.55,V,other,None,0,0,0,KOLE OIL TERMINAL,0
141,BATA,GNQ,Eq. Guinea,1.866667,9.766667,V,other,None,0,0,0,BATA,0
142,LIBREVILLE,GAB,Gabon,0.383333,9.45,M,other,None,0,0,0,LIBREVILLE,0
143,PORT OWENDO,GAB,Gabon,0.283333,9.5,S,other,S,0,0,0,PORT OWENDO,0
144,PORT GENTIL,GAB,Gabon,-0.7,8.8,M,coastal,None,0,0,0,PORT GENTIL,0
145,CAP LOPEZ,GAB,Gabon,-0.633333,8.716667,V,other,None,0,0,0,CAP LOPEZ,0
146,OGUENDJO TERMINAL,GAB,Gabon,-1.466667,8.916667,S,other,None,0,0,0,OGUENDJO TERMINAL,0
147,GAMBA OIL TERMINAL,GAB,Gabon,-2.833333,10.0,V,other,None,0,0,0,GAMBA OIL TERMINAL,0
148,POINTE NOIRE,COG,Congo,-4.783333,11.833333,S,coastal,L,0,0,0,POINTE NOIRE,0
149,MALONGO OIL TERMINAL,AGO,Angola,-5.433333,12.083333,S,other,None,0,0,0,MALONGO OIL TERMINAL,0
150,CABINDA,AGO,Angola,-5.533333,12.2,S,other,None,0,0,0,CABINDA,0
151,BANANA,COD,Dem. Rep. Congo,-5.983333,12.383333,V,river,None,0,0,0,BANANA,0
152,BOMA,COD,Dem. Rep. Congo,-5.85,13.05,S,river,M,0,0,0,BOMA,0
153,PALANCA TERMINAL,AGO,Angola,-6.95,12.4,S,other,None,0,0,0,PALANCA TERMINAL,0
154,PORTO DO AMBRIZ,AGO,Angola,-7.833333,13.1,V,coastal,None,0,0,0,PORTO DO AMBRIZ,0
155,LUANDA,AGO,Angola,-8.8,13.25,S,coastal,None,0,0,0,LUANDA,0
156,LOBITO,AGO,Angola,-12.333333,13.566667,S,coastal,None,0,0,0,LOBITO,0
157,NAMIBE,AGO,Angola,-15.2,12.15,S,other,S,0,0,0,NAMIBE,0
158,GEORGETOWN,SHN,Saint Helena,-7.933333,-14.416667,M,other,None,0,0,0,GEORGETOWN,0
159,BONNY,NGA,Nigeria,4.45,7.166667,M,river,None,0,0,0,BONNY,0
160,BANJUL,GMB,Gambia,13.45,-16.566667,V,river,None,0,0,0,BANJUL,0
161,RIO CACHEU,GNB,Guinea-Bissau,12.283333,-16.233333,V,river,None,0,0,0,RIO CACHEU,0
162,BISSAU,GNB,Guinea-Bissau,11.866667,-15.633333,V,river,None,0,0,0,BISSAU,0
163,VICTORIA,GIN,Guinea,10.816667,-14.566667,V,river,None,0,0,0,VICTORIA,0
164,KAMSAR,GIN,Guinea,10.633333,-14.616667,V,river,None,0,0,0,KAMSAR,0
165,CONAKRY,GIN,Guinea,9.516667,-13.716667,M,coastal,M,0,0,0,CONAKRY,0
166,BENTI,GIN,Guinea,9.166667,-13.2,V,river,None,0,0,0,BENTI,0
167,WEIHAI,CHN,China,37.5,122.1,M,coastal,None,0,0,0,WEIHAI,0
168,YANTAI,CHN,China,37.55,121.45,S,coastal,M,0,0,0,YANTAI,0
169,LONGKOU GANG,CHN,China,37.633333,120.283333,S,coastal,None,0,0,0,LONGKOU GANG,0
170,DAGU TANGGU,CHN,China,38.966667,117.666667,V,river,L,0,0,0,DAGU TANGGU,0
171,TIANJIN XIN GANG,CHN,China,38.966667,117.833333,L,river,L,1,10,15040,TIANJIN XIN GANG,0
172,HULUDAO GANG,CHN,China,40.7,120.983333,V,coastal,S,0,0,0,HULUDAO GANG,0
173,YINGKOU,CHN,China,40.683333,122.233333,S,coastal,S,0,0,0,YINGKOU,0
174,LUSHUN,CHN,China,38.783333,121.25,V,coastal,M,0,0,0,LUSHUN,0
175,DALIAN,CHN,China,38.916667,121.666667,L,coastal,M,1,16,9707,DALIAN,0
176,NAMPO,PRK,North Korea,38.716667,125.4,S,river,M,0,0,0,NAMPO,0
177,KYOMIP'O,PRK,North Korea,38.733333,125.616667,V,river,None,0,0,0,KYOMIP'O,0
178,HAEJU HANG,PRK,North Korea,38.0,125.7,S,coastal,S,0,0,0,HAEJU HANG,0
179,INCHON,KOR,South Korea,37.466667,126.616667,L,river,M,0,0,0,INCHON,0
180,KUNSAN,KOR,South Korea,35.983333,126.616667,S,river,S,0,0,0,KUNSAN,0
181,MOKPO,KOR,South Korea,34.783333,126.383333,M,river,M,0,0,0,MOKPO,0
182,CHEJU HANG,KOR,South Korea,33.516667,126.533333,S,coastal,S,0,0,0,CHEJU HANG,0
183,YOSU,KOR,South Korea,34.733333,127.75,S,coastal,S,0,0,0,YOSU,0
184,SURIGAO CITY,PHL,Philippines,9.783333,125.5,V,other,None,0,0,0,SURIGAO CITY,0
185,NASIPIT PORT,PHL,Philippines,8.983333,125.333333,V,river,None,0,0,0,NASIPIT PORT,0
186,HINATUAN,PHL,Philippines,8.366667,126.333333,V,coastal,None,0,0,0,HINATUAN,0
187,MANGAGOY,PHL,Philippines,8.233333,126.316667,S,coastal,None,0,0,0,MANGAGOY,0
188,MATI,PHL,Philippines,6.95,126.216667,V,other,None,0,0,0,MATI,0
189,DAVAO,PHL,Philippines,7.066667,125.616667,S,coastal,None,0,0,0,DAVAO,0
190,GENERAL SANTOS,PHL,Philippines,6.116667,125.183333,V,coastal,None,0,0,0,GENERAL SANTOS,0
191,POLLOC (COTABATO),PHL,Philippines,7.35,124.216667,V,other,None,0,0,0,POLLOC (COTABATO),0
192,PAGADIAN,PHL,Philippines,7.833333,123.433333,V,coastal,None,0,0,0,PAGADIAN,0
193,MARGOSATUBIG,PHL,Philippines,7.583333,123.166667,V,coastal,None,0,0,0,MARGOSATUBIG,0
194,SANTA CLARA,PHL,Philippines,7.783333,122.683333,V,coastal,None,0,0,0,SANTA CLARA,0
195,ZAMBOANGA,PHL,Philippines,6.9,122.066667,S,other,None,0,0,0,ZAMBOANGA,0
196,JIMENEZ,PHL,Philippines,8.333333,123.866667,V,coastal,None,0,0,0,JIMENEZ,0
197,PORT OZAMIS,PHL,Philippines,8.133333,123.85,V,other,None,0,0,0,PORT OZAMIS,0
198,ILIGAN,PHL,Philippines,8.233333,124.233333,V,other,None,0,0,0,ILIGAN,0
199,CAGAYAN DE ORO,PHL,Philippines,8.5,124.666667,M,coastal,None,0,0,0,CAGAYAN DE ORO,0
200,BUGO,PHL,Philippines,8.516667,124.75,V,coastal,None,0,0,0,BUGO,0
201,VILLANUEVA,PHL,Philippines,8.583333,124.766667,V,other,None,0,0,0,VILLANUEVA,0
202,BUTUAN CITY,PHL,Philippines,8.95,125.533333,V,river,None,0,0,0,BUTUAN CITY,0
203,BASILIAN CITY (ISABELA),PHL,Philippines,6.716667,121.966667,V,other,None,0,0,0,BASILIAN CITY (ISABELA),0
204,PORT HOLLAND,PHL,Philippines,6.55,121.866667,V,coastal,None,0,0,0,PORT HOLLAND,0
205,JOLO,PHL,Philippines,6.05,121.0,V,other,S,0,0,0,JOLO,0
206,SIASI,PHL,Philippines,5.55,120.816667,V,coastal,None,0,0,0,SIASI,0
207,FREETOWN,SLE,Sierra Leone,8.5,-13.233333,S,coastal,S,0,0,0,FREETOWN,0
208,PEPEL,SLE,Sierra Leone,8.583333,-13.05,V,river,None,0,0,0,PEPEL,0
209,BONTHE,SLE,Sierra Leone,7.533333,-12.5,V,river,None,0,0,0,BONTHE,0
210,PORTO GRANDE,CPV,Cabo Verde,16.883333,-25.0,V,coastal,None,0,0,0,PORTO GRANDE,0
211,PORTO DA PRAIA,CPV,Cabo Verde,14.916667,-23.516667,S,coastal,None,0,0,0,PORTO DA PRAIA,0
212,MONROVIA,LBR,Liberia,6.316667,-10.816667,S,coastal,L,0,0,0,MONROVIA,0
213,BUCHANAN,LBR,Liberia,5.866667,-10.066667,V,coastal,S,0,0,0,BUCHANAN,0
214,GREENVILLE,LBR,Liberia,4.983333,-9.05,V,coastal,None,0,0,0,GREENVILLE,0
215,CAPE PALMAS,LBR,Liberia,4.366667,-7.716667,V,other,None,0,0,0,CAPE PALMAS,0
216,SAN PEDRO,CIV,Côte d'Ivoire,4.733333,-6.616667,V,other,None,0,0,0,SAN PEDRO,0
217,PORT BOUET,CIV,Côte d'Ivoire,5.233333,-3.966667,V,other,None,0,0,0,PORT BOUET,0
218,ABIDJAN,CIV,Côte d'Ivoire,5.25,-4.016667,L,lake,None,0,0,0,ABIDJAN,0
219,TAKORADI,GHA,Ghana,4.883333,-1.733333,M,coastal,L,0,0,0,TAKORADI,0
220,SEKONDI,GHA,Ghana,4.95,-1.7,V,coastal,None,0,0,0,SEKONDI,0
221,SALTPOND,GHA,Ghana,5.2,-1.05,V,other,None,0,0,0,SALTPOND,0
222,TEMA,GHA,Ghana,5.616667,0.016667,S,coastal,M,0,0,0,TEMA,0
223,LOME,TGO,Togo,6.133333,1.283333,M,coastal,L,0,0,0,LOME,0
224,KPEME,TGO,Togo,6.2,1.516667,V,other,S,0,0,0,KPEME,0
225,COTONOU,BEN,Benin,6.35,2.433333,M,coastal,L,0,0,0,COTONOU,0
226,LAGOS,NGA,Nigeria,6.4,3.4,L,river,M,0,0,0,LAGOS,0
227,ESCRAVOS OIL TERMINAL,NGA,Nigeria,5.5,5.0,V,other,None,0,0,0,ESCRAVOS OIL TERMINAL,0
228,KOKO,NGA,Nigeria,6.0,5.466667,V,river,None,0,0,0,KOKO,0
229,FORCADOS,NGA,Nigeria,5.366667,5.433333,V,river,None,0,0,0,FORCADOS,0
230,BURUTU,NGA,Nigeria,5.35,5.5,V,river,None,0,0,0,BURUTU,0
231,BRASS OIL TERMINAL,NGA,Nigeria,4.066667,6.283333,V,other,None,0,0,0,BRASS OIL TERMINAL,0
232,RUFISQUE,SEN,Senegal,14.7,-17.283333,V,other,None,0,0,0,RUFISQUE,0
233,KARABANE,SEN,Senegal,12.566667,-16.666667,V,river,None,0,0,0,KARABANE,0
234,LA GOULETTE,TUN,Tunisia,36.8,10.3,M,coastal,M,0,0,0,LA GOULETTE,0
235,TUNIS,TUN,Tunisia,36.8,10.25,M,lake,L,0,0,0,TUNIS,0
236,TAZERKA OIL TERMINAL,TUN,Tunisia,36.6,11.683333,M,other,None,0,0,0,TAZERKA OIL TERMINAL,0
237,BANZART,TUN,Tunisia,37.283333,9.883333,S,coastal,None,0,0,0,BANZART,0
238,FUZHOU,CHN,China,26.083333,119.3,V,river,None,0,0,0,FUZHOU,0
239,ORMOC,PHL,Philippines,11.0,124.6,V,other,None,0,0,0,ORMOC,0
240,PALOMPON,PHL,Philippines,11.05,124.383333,V,coastal,None,0,0,0,PALOMPON,0
241,TAGBILARAN,PHL,Philippines,9.65,123.85,S,other,None,0,0,0,TAGBILARAN,0
242,TUBIGAN,PHL,Philippines,9.95,123.966667,V,other,None,0,0,0,TUBIGAN,0
243,CEBU,PHL,Philippines,10.3,123.9,L,coastal,None,0,0,0,CEBU,0
244,TOLEDO,PHL,Philippines,10.366667,123.633333,S,other,None,0,0,0,TOLEDO,0
245,SAN CARLOS,PHL,Philippines,10.483333,123.416667,V,coastal,None,0,0,0,SAN CARLOS,0
246,BAIS,PHL,Philippines,9.6,123.116667,V,other,None,0,0,0,BAIS,0
247,DUMAGUETE,PHL,Philippines,9.316667,123.3,V,other,None,0,0,0,DUMAGUETE,0
248,LAZI,PHL,Philippines,9.133333,123.633333,V,coastal,None,0,0,0,LAZI,0
249,PULUPANDAN,PHL,Philippines,10.516667,122.8,V,other,None,0,0,0,PULUPANDAN,0
250,PORT CAPIZ,PHL,Philippines,11.6,122.716667,V,coastal,None,0,0,0,PORT CAPIZ,0
251,JORDAN,PHL,Philippines,10.666667,122.583333,V,other,None,0,0,0,JORDAN,0
252,ILOILO,PHL,Philippines,10.7,122.583333,V,other,M,0,0,0,ILOILO,0
253,PUERTO PRINCESA,PHL,Philippines,9.733333,118.733333,S,coastal,S,0,0,0,PUERTO PRINCESA,0
254,MAASIN,PHL,Philippines,10.133333,124.833333,V,other,None,0,0,0,MAASIN,0
255,BAYBAY,PHL,Philippines,10.683333,124.8,V,other,S,0,0,0,BAYBAY,0
256,SORSOGON,PHL,Philippines,12.966667,124.0,V,coastal,None,0,0,0,SORSOGON,0
257,SANTA CRUZ (MARINDUQUE ISL),PHL,Philippines,13.5,122.066667,V,coastal,None,0,0,0,SANTA CRUZ (MARINDUQUE ISL),0
258,BATANGAS CITY,PHL,Philippines,13.75,121.05,M,other,S,0,0,0,BATANGAS CITY,0
259,NASUGBU,PHL,Philippines,14.083333,120.616667,V,coastal,None,0,0,0,NASUGBU,0
260,MANILA,PHL,Philippines,14.583333,120.966667,L,coastal,M,0,0,0,MANILA,0
261,MARIVELES,PHL,Philippines,14.433333,120.483333,V,coastal,None,0,0,0,MARIVELES,0
262,MASINLOC,PHL,Philippines,15.55,119.95,V,coastal,None,0,0,0,MASINLOC,0
