,organic_products_export,chemicals_export,material_export,clothing_export,metals_export,technical_export,transportation_export,miscellaneous_goods_export,all_commodities_export,organic_products_import,chemicals_import,material_import,clothing_import,metals_import,technical_import,transportation_import,miscellaneous_goods_import,all_commodities_import,iso3,freight_2017,passengers_2017,name,normalised_export_2017,normalised_import_2017,normalised_freight_2017,normalised_passengers_2017,code
102,0.8,0.01,0.03,0.01,0.0,0.02,0.01,0.01,0.88,0.32,0.51,0.74,0.09,0.15,0.48,0.17,0.09,2.55,MWI,0.01,10545.0,Malawi,0.6312717768418578,1.2669476034873244,0.009950330853168092,9.263501920090414,MWI
103,0.26,0.11,1.42,0.0,0.02,0.03,0.07,0.01,1.9,0.73,0.58,1.56,0.07,0.27,0.65,0.36,0.12,4.34,MLI,0.0,0.0,Mali,1.0647107369924282,1.6752256529721035,0.0,0.0,MLI
104,32.53,9.83,54.48,6.2,16.76,147.53,105.48,31.34,404.14,25.94,28.99,85.62,7.74,34.5,156.92,42.96,22.64,405.3,MEX,928.84,58536878.0,Mexico,6.00423268638566,6.007091802993681,6.835012528335453,17.88516752383342,MEX
105,0.51,0.01,2.89,0.01,1.22,0.03,0.05,0.0,4.72,0.86,0.51,1.8,0.14,0.82,0.84,0.59,0.15,5.7,MOZ,3.93,569829.0,Mozambique,1.7439688053917064,1.9021075263969205,1.5953389880545987,13.25309334971263,MOZ
106,0.21,0.04,0.19,0.2,0.07,0.01,0.0,0.01,0.74,1.78,0.73,3.26,0.23,1.29,1.57,0.93,0.25,10.04,NPL,6.03,779896.0,Nepal,0.5538851132264376,2.401525040848949,1.9501867058225735,13.566917138664184,NPL
107,0.04,0.01,0.01,0.0,0.02,0.0,0.0,0.01,0.09,0.36,0.11,0.23,0.07,0.06,0.17,0.08,0.12,1.19,ABW,0.0,0.0,Aruba,0.08617769624105241,0.7839015438284094,0.0,0.0,ABW
108,6.58,1.4,7.36,1.37,3.54,41.66,3.53,3.28,68.71,11.74,7.37,22.55,1.5,7.66,36.51,10.97,3.59,101.89,PHL,756.94,44087368.0,Philippines,4.244343779498307,4.633660456387719,6.630604226836573,17.601683882158266,PHL
109,0.04,0.0,0.03,0.01,0.01,0.02,0.02,0.01,0.14,0.17,0.05,0.2,0.02,0.04,0.1,0.04,0.04,0.66,LCA,0.0,0.0,Saint Lucia,0.1310282624064042,0.506817602368452,0.0,0.0,LCA
110,1.03,0.3,1.36,0.06,0.12,0.07,0.04,0.01,2.99,1.63,0.53,2.12,0.09,0.51,1.17,0.51,0.18,6.73,SEN,0.04,21038.0,Senegal,1.3837912309017721,2.0451088625993306,0.03922071315328133,9.95413313720502,SEN
111,9.9,37.01,87.13,2.3,7.96,176.5,10.44,20.78,352.0,12.74,21.13,109.3,3.73,10.03,138.29,13.52,16.0,324.74,SGP,7006.89,37679940.0,Singapore,5.8664680569332965,5.786099517145415,8.854791936146006,17.4446384418538,SGP
112,27.03,3.23,27.37,42.9,8.33,86.54,3.5,15.93,214.83,17.63,15.24,48.02,8.22,21.96,86.41,5.21,10.23,212.92,VNM,453.35,42592762.0,Vietnam,5.374491060770879,5.365602113353633,6.118867826141356,17.567194914178803,VNM
113,0.99,0.01,1.65,0.02,0.73,0.05,0.01,0.02,3.48,0.74,0.72,1.97,0.06,0.24,0.77,0.34,0.09,4.94,ZWE,0.67,282539.0,Zimbabwe,1.4996230464268938,1.7817091333745536,0.5128236264286637,12.551575412465656,ZWE
114,0.47,0.91,0.15,0.22,0.01,0.02,0.01,0.01,1.8,0.31,0.22,0.49,0.08,0.11,0.19,0.11,0.07,1.58,SWZ,0.0,0.0,eSwatini,1.0296194171811581,0.9477893989335261,0.0,0.0,SWZ
115,0.15,0.06,0.39,0.04,0.02,0.02,0.04,0.01,0.75,0.29,0.21,0.56,0.07,0.13,0.16,0.16,0.04,1.61,TGO,8.57,500686.0,Togo,0.5596157879354227,0.9593502213346021,2.258633205464863,13.123736434330086,TGO
116,1.53,0.84,1.98,2.87,0.58,4.61,0.86,0.92,14.2,2.33,1.55,6.49,1.05,1.88,4.84,1.75,0.72,20.62,TUN,12.15,4194174.0,Tunisia,2.7212954278522306,3.073618812211062,2.5764217586237734,15.249207215849117,TUN
117,1.71,0.08,0.84,0.02,0.1,0.04,0.08,0.02,2.9,0.86,0.71,1.82,0.24,0.41,0.87,0.49,0.19,5.6,UGA,0.02,54937.0,Uganda,1.3609765531356006,1.8870696490323797,0.01980262729617973,10.913960555637539,UGA
118,17.77,1.66,6.96,0.83,10.12,4.24,0.6,0.88,43.07,4.29,6.54,18.56,1.21,3.01,9.82,4.17,1.5,49.1,UKR,59.68,6821095.0,Ukraine,3.7857792788538958,3.914021008090819,4.105614154480332,15.735530720720487,UKR
119,4.86,3.16,11.32,2.0,1.95,1.87,0.13,0.66,25.94,13.61,6.52,22.64,0.95,7.51,10.53,3.21,1.37,66.34,EGY,430.15,12017179.0,Egypt,3.293612170982218,4.209754413732928,6.066456057398334,16.301847850561316,EGY
120,0.37,0.01,2.18,0.0,0.17,0.03,0.02,0.0,2.79,0.46,0.44,1.29,0.05,0.3,0.79,0.33,0.07,3.72,BFA,0.02,145049.0,Burkina Faso,1.332366019094335,1.551808799597464,0.01980262729617973,11.88483378954955,BFA
121,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.04,0.1,0.02,0.11,0.01,0.03,0.05,0.03,0.02,0.36,WSM,0.02,135335.0,Samoa,0.03922071315328133,0.30748469974796055,0.01980262729617973,11.815515854155128,WSM
122,0.01,0.0,0.0,0.01,0.0,0.01,0.03,0.0,0.06,0.15,0.04,0.18,0.03,0.06,0.07,0.08,0.04,0.63,ATG,0.32,590517.0,Antigua and Barb.,0.058268908123975824,0.4885800148186709,0.27763173659827955,13.288755396796796,ATG
123,0.55,0.02,0.86,0.0,0.01,0.08,0.26,0.0,1.79,0.26,0.21,0.59,0.04,0.11,0.38,0.12,0.05,1.76,GUY,0.0,0.0,Guyana,1.0260415958332743,1.0152306797290584,0.0,0.0,GUY
124,0.0,0.0,0.01,0.0,0.0,0.02,0.0,0.0,0.03,0.08,0.02,0.06,0.01,0.02,0.06,0.02,0.03,0.31,KNA,0.0,0.0,St. Kitts and Nevis,0.02955880224154443,0.2700271372130602,0.0,0.0,KNA
125,0.03,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.04,0.09,0.02,0.09,0.01,0.02,0.05,0.03,0.02,0.33,VCT,0.0,0.0,St. Vin. and Gren.,0.03922071315328133,0.28517894223366247,0.0,0.0,VCT
126,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.01,0.04,0.0,0.01,0.03,0.01,0.0,0.15,STP,0.0,0.0,São Tomé and Principe,0.009950330853168092,0.13976194237515863,0.0,0.0,STP
127,0.32,0.0,0.15,0.0,0.0,0.0,0.1,0.0,0.59,0.33,0.04,0.34,0.02,0.1,0.19,0.26,0.05,1.35,SYC,29.35,633518.0,Seychelles,0.46373401623214006,0.8544153281560676,3.4127965175055075,13.359045270400916,SYC
128,0.05,0.0,0.01,0.01,0.0,0.01,0.02,0.0,0.1,0.36,0.06,0.16,0.03,0.1,0.19,0.12,0.06,1.07,SLE,0.0,0.0,Sierra Leone,0.09531017980432493,0.7275486072772779,0.0,0.0,SLE
129,0.07,0.01,1.26,0.0,0.01,0.02,0.01,0.01,1.38,0.2,0.13,0.3,0.02,0.09,0.32,0.11,0.04,1.2,SUR,23.18,284935.0,Suriname,0.8671004876833833,0.7884573603642703,3.1855258451866466,12.560019872629592,SUR
130,0.11,0.07,0.19,0.03,0.02,0.02,0.01,0.04,0.48,0.35,0.15,0.53,0.05,0.07,0.23,0.11,0.1,1.59,BRB,0.0,0.0,Barbados,0.3920420877760237,0.9516578757114463,0.0,0.0,BRB
131,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.22,0.06,0.26,0.05,0.04,0.12,0.08,0.08,0.9,BMU,0.0,0.0,Bermuda,0.009950330853168092,0.6418538861723947,0.0,0.0,BMU
132,1.09,0.05,6.33,0.02,0.35,0.0,0.0,0.01,7.85,0.79,1.07,2.18,0.24,0.93,2.35,1.28,0.45,9.3,BOL,8.46,3302463.0,Bolivia,2.180417459019838,2.33214389523559,2.247072383063787,15.010179414486501,BOL
133,0.02,0.0,3.7,0.0,0.19,0.13,4.05,0.04,8.15,0.63,0.19,0.27,0.06,0.29,0.66,2.36,0.1,4.55,COG,4.6,333899.0,Congo,2.21375387928743,1.713797927758343,1.7227665977411035,12.718596825931746,COG
134,0.85,0.01,1.13,0.0,0.0,0.0,0.0,0.0,1.99,0.49,0.1,0.81,0.06,0.14,0.43,1.45,0.04,3.52,MRT,0.0,418817.0,Mauritania,1.095273387402595,1.5085119938441398,0.0,12.9451917369976,MRT
135,0.83,0.2,43.04,0.03,0.09,0.01,0.27,0.0,44.47,5.29,2.96,12.6,0.2,1.71,6.15,1.88,0.48,31.27,NGA,22.0,3446717.0,Nigeria,3.8170527678369193,3.4741380060638702,3.1354942159291497,15.05293303188256,NGA
136,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.48,0.12,0.76,0.06,0.19,0.48,0.13,0.15,2.36,MDV,7.75,1485752.0,Maldives,0.1823215567939546,1.2119409739751128,2.169053700369523,14.2114322724091,MDV
137,0.04,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.05,0.24,0.04,0.18,0.02,0.05,0.14,0.08,0.04,0.79,CPV,0.0,358052.0,Cabo Verde,0.04879016416943204,0.5822156198526637,0.0,12.788436299118041,CPV
138,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.15,0.01,0.29,0.01,0.01,0.03,0.04,0.01,0.55,GMB,0.0,53735.0,Gambia,0.01980262729617973,0.4382549309311553,0.0,10.8918384469467,GMB
139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.01,0.05,0.0,0.01,0.03,0.01,0.01,0.16,PLW,0.0,0.0,Palau,0.009950330853168092,0.14842000511827322,0.0,0.0,PLW
140,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.18,0.02,0.18,0.02,0.03,0.07,0.07,0.02,0.59,TLS,0.0,0.0,Timor-Leste,0.01980262729617973,0.46373401623214006,0.0,0.0,TLS
141,0.0,0.0,0.03,0.0,0.0,0.02,0.13,0.0,0.2,0.09,0.04,0.03,0.02,0.03,0.07,0.11,0.02,0.42,CAF,0.0,0.0,Central African Rep.,0.1823215567939546,0.35065687161316933,0.0,0.0,CAF
