,organic_products_export,chemicals_export,material_export,clothing_export,metals_export,technical_export,transportation_export,miscellaneous_goods_export,all_commodities_export,organic_products_import,chemicals_import,material_import,clothing_import,metals_import,technical_import,transportation_import,miscellaneous_goods_import,all_commodities_import,iso3,freight_2017,passengers_2017,name,normalised_export_2017,normalised_import_2017,normalised_freight_2017,normalised_passengers_2017,code
23,2.05,0.69,2.74,1.09,0.4,0.81,0.03,1.04,8.86,3.05,1.76,7.42,0.73,1.22,3.15,1.44,0.77,19.52,DOM,0.0,0.0,Dominican Rep.,2.288486168614544,3.021400020302569,0.0,0.0,DOM
24,10.43,0.12,7.86,0.07,0.33,0.19,0.08,0.05,19.12,2.11,2.93,5.86,0.48,1.49,4.1,1.91,0.88,19.76,ECU,57.68,5121235.0,Ecuador,3.0017143452315387,3.033028058297688,4.072098953274781,15.44890637413189,ECU
25,1.1,0.3,1.12,2.49,0.28,0.36,0.01,0.1,5.76,1.81,1.18,3.44,0.99,0.75,1.52,0.53,0.35,10.57,SLV,13.77,2670560.0,El Salvador,1.9110228900548727,2.448415541205585,2.6925980965432883,14.797799120665472,SLV
26,1.59,0.84,4.5,0.47,1.22,3.93,1.04,1.77,15.37,1.99,1.51,4.24,0.68,1.48,4.34,2.18,0.93,17.36,EST,0.0,13103.0,Estonia,2.7954503913830435,2.9101743851923443,0.0,9.480672806092851,EST
27,0.49,0.02,0.25,0.05,0.03,0.08,0.02,0.01,0.95,0.44,0.14,0.78,0.07,0.17,0.43,0.24,0.13,2.4,FJI,102.6,1557876.0,Fiji,0.6678293725756554,1.2237754316221157,4.640537329825382,14.258834554927901,FJI
28,1.78,4.76,24.41,0.64,9.36,14.29,6.85,3.79,65.88,5.88,6.05,18.12,2.32,7.68,15.13,7.57,3.81,66.55,FIN,852.01,14831371.0,Finland,4.202899968776446,4.212868064406208,6.748771270752387,16.5122552250068,FIN
29,68.34,84.96,79.93,17.11,36.47,102.62,105.4,28.18,523.0,62.05,68.97,134.15,35.32,41.74,137.61,91.13,41.83,612.8,FRA,4260.6,68316473.0,France,6.261491684321042,6.419669142185636,8.357399955602789,18.039661496042484,FRA
30,84.99,181.24,183.4,36.76,107.28,398.0,311.83,104.65,1408.15,103.69,134.98,235.75,59.35,98.82,298.19,146.71,76.39,1153.88,DEU,7391.23,116847033.0,Germany,7.250741964713571,7.051751721454424,8.908184727556081,18.576376235657367,DEU
31,6.41,2.63,14.08,0.92,3.73,2.61,0.33,0.87,31.58,7.66,6.77,19.13,2.73,4.04,6.47,5.95,2.26,55.02,GRC,23.5,13861828.0,Greece,3.4836986031738992,4.0257087698319625,3.1986731175506815,16.44464950550171,GRC
32,5.47,0.98,1.96,1.56,0.58,0.25,0.06,0.15,11.01,2.73,2.43,5.94,0.79,1.26,2.96,1.6,0.65,18.38,GTM,0.55,155524.0,Guatemala,2.485739636091892,2.96424160646262,0.4382549309311553,11.95456176938322,GTM
33,3.13,0.19,0.71,0.03,0.23,0.56,0.07,0.06,4.97,1.58,1.21,2.41,0.35,0.7,1.36,0.63,0.36,8.61,HND,0.1,229684.0,Honduras,1.7867469274045107,2.262804222982201,0.09531017980432493,12.344464083976316,HND
34,11.66,7.81,115.33,21.21,6.55,348.86,2.01,35.78,549.21,28.28,12.46,112.78,18.96,7.64,366.12,7.32,35.16,588.72,HKG,12415.2,45580297.0,Hong Kong,6.310300023534322,6.379647847981619,9.426757350540687,17.634986119715684,HKG
35,10.04,10.28,14.75,1.8,5.64,43.77,19.74,7.2,113.24,6.4,9.83,20.35,2.97,9.1,38.53,12.3,4.53,104.02,HUN,0.0,26066294.0,Hungary,4.738301498591274,4.654150808209713,0.0,17.076153658433757,HUN
36,2.1,0.05,0.12,0.0,2.16,0.13,0.12,0.15,4.84,0.7,1.04,1.39,0.26,0.46,1.46,1.23,0.43,6.97,ISL,158.06,7242611.0,Iceland,1.7647307968401356,2.075684492802124,5.069281489528989,15.795492472779458,ISL
37,36.74,11.05,72.27,13.92,9.53,14.34,7.19,3.73,168.77,17.59,16.01,49.1,3.78,16.02,39.7,9.15,5.0,156.35,IDN,1056.04,110252913.0,Indonesia,5.134444579822542,5.058472623510416,6.963227828105961,18.518287502780943,IDN
38,6.42,6.09,85.72,1.14,5.16,0.94,0.16,0.19,105.81,10.55,5.85,6.9,0.4,4.05,13.79,3.6,2.35,47.49,IRN,175.82,19282796.0,Iran,4.671051555101604,3.881357591117261,5.175132265977658,16.774723909238766,IRN
39,14.61,76.2,5.07,0.46,1.45,16.97,7.34,14.81,136.92,9.72,18.18,12.16,2.86,2.68,13.22,23.06,4.45,86.33,IRL,147.64,153537551.0,Ireland,4.926673806915383,4.469694046425642,5.001527275065528,18.849455733508904,IRL
40,2.24,14.31,20.4,0.5,2.09,12.18,3.32,6.1,61.15,6.1,6.4,21.36,2.83,3.93,16.74,6.85,4.36,68.58,ISR,912.9,7065040.0,Israel,4.12955081795672,4.242477169723796,6.817721156278156,15.770669377339411,ISR
41,46.29,52.19,100.0,36.94,47.3,129.59,54.06,31.94,498.32,49.15,55.07,123.95,24.97,43.64,78.81,52.58,21.94,450.12,ITA,1405.6,27836417.0,Italy,6.21324717278285,6.111733379498927,7.248930723873918,17.141855721359494,ITA
42,6.3,53.9,79.76,2.67,54.39,243.97,164.05,49.0,654.05,69.86,58.47,224.61,37.53,32.55,162.89,28.59,45.66,660.16,JPN,10684.57,123898000.0,Japan,6.484711568599679,6.4939958680491525,9.276649512142297,18.6349692124902,JPN
43,2.38,2.38,34.06,0.1,8.73,0.42,0.19,0.06,48.32,3.42,3.27,6.28,0.96,3.42,7.74,2.38,1.82,29.3,KAZ,49.3,5653190.0,Kazakhstan,3.8983296782961436,3.4111477125153233,3.9180050771056933,15.547730722456185,KAZ
44,1.23,2.0,1.2,1.63,0.32,0.58,0.36,0.14,7.45,3.87,1.51,6.15,1.14,1.17,3.24,2.31,0.65,20.05,JOR,158.96,3381677.0,Jordan,2.134166441369082,3.0469005601283903,5.074923783978618,15.03388259397296,JOR
45,8.05,43.62,93.21,8.05,49.73,232.37,105.8,32.81,573.63,29.02,40.71,163.46,13.46,39.47,143.41,19.55,29.39,478.47,KOR,11002.2,84045163.0,South Korea,6.353726355415488,6.172681327194157,9.305941418565572,18.24686487898332,KOR
46,0.54,1.7,50.55,0.09,0.25,0.38,0.89,0.22,54.61,5.11,3.32,4.53,1.58,3.56,9.22,3.95,2.28,33.54,KWT,304.17,5586034.0,Kuwait,4.018363041199472,3.5421180727185324,5.7208689983797,15.53578029113179,KWT
47,0.22,0.01,1.08,0.15,0.07,0.07,0.14,0.01,1.76,0.64,0.4,1.5,0.63,0.33,0.64,0.2,0.15,4.49,KGZ,0.02,1127285.0,Kyrgyzstan,1.0152306797290584,1.7029282555214393,0.01980262729617973,13.935323531901128,KGZ
48,4.41,0.33,2.47,0.06,0.34,1.0,0.02,0.1,8.74,46.27,53.78,15.63,1.09,2.59,18.01,1.88,1.14,140.4,LBN,53.39,2869266.0,Lebanon,2.2762411176544437,4.951592753462473,3.9961803134348695,14.869567154418627,LBN
49,0.03,0.0,0.08,0.47,0.0,0.07,0.01,0.02,0.67,0.38,0.13,0.67,0.22,0.3,0.2,0.11,0.05,2.06,LSO,0.0,0.0,Lesotho,0.5128236264286637,1.1184149159642893,0.0,0.0,LSO
50,2.7,0.99,3.97,0.35,1.14,2.33,0.81,0.71,12.99,2.68,1.59,3.76,0.59,1.27,3.39,1.83,0.78,15.9,LVA,2.83,3441024.0,Latvia,2.63834278867739,2.8273136219290276,1.3428648031925547,15.051279950083071,LVA
51,5.4,2.98,8.81,1.09,1.7,4.56,1.52,3.17,29.23,4.13,3.65,10.19,1.09,1.99,5.63,2.95,1.36,30.98,LTU,0.47,1069268.0,Lithuania,3.408834808791367,3.4651107074058083,0.3852624007906449,13.882485795395858,LTU
52,1.28,0.83,3.86,0.29,3.24,2.6,1.26,0.32,13.69,2.56,1.67,5.22,0.6,2.69,3.43,3.98,0.9,21.06,LUX,7321.11,1901012.0,Luxembourg,2.6871669901857858,3.0937660138253564,8.898653816785034,14.457897459953234,LUX
53,1.32,0.06,0.37,0.54,0.5,0.03,0.01,0.02,2.84,0.75,0.28,1.32,0.2,0.19,0.49,0.31,0.1,3.64,MDG,15.03,486425.0,Madagascar,1.3454723665996355,1.534714366238164,2.7744619666214616,13.094840062152851,MDG
54,21.75,12.03,60.33,1.97,12.02,92.05,3.99,11.56,215.7,15.16,14.08,49.29,3.19,16.18,77.06,10.01,8.17,193.13,MYS,1261.64,58188823.0,Malaysia,5.378513908542313,5.268528037737284,7.140960046090662,17.879203866770617,MYS
55,0.86,0.08,0.29,0.66,0.02,0.08,0.03,0.09,2.1,1.3,0.36,1.71,0.18,0.25,0.82,0.41,0.23,5.27,MUS,196.05,1674395.0,Mauritius,1.1314021114911006,1.8357763546448294,5.283457503641013,14.330963061195641,MUS
