,animals_&_animal_products_export,vegetable_products_export,foodstuffs_export,mineral_products_export,chemicals_&_allied_industries_export,Plastics/Rubbers_export,"raw_hides,_skins,_leather_&_furs_export",wood_&_wood_products_export,textiles_export,footwear_/_headgear_export,stone_/_glass_export,metals_export,machinery_/_electrical_export,transportation_export,miscellaneous_export,all_commodities_export,animals_&_animal_products_import,vegetable_products_import,foodstuffs_import,mineral_products_import,chemicals_&_allied_industries_import,Plastics/Rubbers_import,"raw_hides,_skins,_leather_&_furs_import",wood_&_wood_products_import,textiles_import,footwear_/_headgear_import,stone_/_glass_import,metals_import,machinery_/_electrical_import,transportation_import,miscellaneous_import,all_commodities_import,ISO3,freight_2017,passengers_2017
62,1010.894,881.128,535.825,15.905,40.72,10.898,21.802,23.944,1343.895,17.302,364.878,30.042,605.871,7.849,14.25,4925.202,94.455,301.645,697.423,737.148,1097.641,459.466,22.476,260.118,1282.267,56.679,99.042,504.578,1283.069,467.577,336.699,7700.285,NIC,0,0
63,706.143,2659.017,1108.236,756.874,417.458,299.034,967.383,146.621,13001.799,101.684,64.884,421.267,274.834,81.208,870.235,21876.676,249.534,5980.662,670.492,13857.847,6204.304,2979.637,97.019,1028.002,3543.658,124.405,526.471,5214.103,11608.495,3822.678,1497.916,57405.223,PAK,249.87158,9919768
64,1288.856,3271.61,890.042,2155.685,123.304,98.288,134.851,97.423,166.032,12.169,27.297,66.19,248.895,63.188,36.004,8679.833,77.607,181.129,814.303,1438.141,1704.044,694.591,45.773,256.345,421.89,127.502,165.108,615.882,3426.542,1231.396,673.154,11873.407,PRY,1.853263636,457249
65,931.924,4682.018,3177.782,20432.253,792.472,528.593,40.942,273.212,1302.642,29.848,7691.734,3743.128,363.828,73.513,173.981,44237.87,618.113,2512.113,1928.577,5909.38,4309.969,2610.772,123.602,1048.056,1816.539,450.088,485.393,2821.543,9333.427,4060.231,1735.975,39763.777,PER,315.88617,15728393
66,9654.057,4975.905,14953.114,5991.249,16275.605,15499.436,1055.857,10531.43,7899.72,1636.874,5326.708,21872.442,53229.134,31378.628,20749.667,221029.824,5770.925,6042.556,8152.276,17949.441,22037.86,16646.281,1468.406,7400.71,10808.798,2137.012,3155.019,23237.23,52505.577,25293.571,12223.299,214828.962,POL,221.814,7376934
67,1858.165,2331.5,3595.524,5377.022,3111.426,4724.677,315.07,4690.915,5906.166,2335.347,2336.032,4894.167,9533.295,7410.484,3710.34,62130.131,4156.604,4212.855,3517.945,9256.052,7746.165,4802.146,939.097,2493.062,4672.543,997.531,1099.997,6242.657,13344.037,10531.206,3821.894,77833.792,PRT,421.833535,15943356
68,1064.217,4241.722,1971.622,2787.314,2336.154,4037.987,466.673,2409.258,4557.894,1555.692,423.225,6000.045,20084.156,12728.267,5426.555,70090.783,1918.104,2875.156,3551.796,6058.592,8354.246,6248.89,1141.809,2133.419,5460.541,1077.603,1122.152,8992.973,23663.661,8502.558,3886.709,84988.209,ROU,2.8045,4425717
69,4184.467,11887.868,4633.256,216105.609,16451.911,5952.093,285.765,11820.327,890.208,198.662,12431.749,37251.428,12863.181,7001.675,3047.777,345005.977,7212.868,12031.942,9573.908,4433.817,27870.745,12354.844,1128.478,3598.001,10184.328,3363.117,3085.03,15633.621,72019.107,31761.491,12305.025,226556.321,RUS,6845.22951,89373638
70,209.699,1624.89,1320.024,532.673,1033.198,1626.884,104.797,795.625,889.872,340.286,243.076,2303.542,3269.244,1529.957,786.157,16609.923,236.3,605.041,854.554,2833.179,2136.728,1561.751,220.952,870.844,984.435,153.071,299.88,2051.602,3655.002,1724.343,773.503,18961.184,SRB,7.355192,2442731
71,11428.37,17970.62,6213.337,39859.095,37380.945,8766.752,3301.708,1982.921,37220.763,3068.22,44449.198,28136.642,25427.344,23429.417,5451.767,294087.098,176.586,22091.081,2980.254,131295.333,38976.885,16261.313,1011.308,7519.571,6604.335,694.614,76807.364,26517.82,82852.065,14439.112,11763.023,439990.662,IND,2407.32062,139822450
72,680.998,1160.726,1362.777,4155.011,2114.325,5089.095,386.363,2232.961,1798.746,1189.376,1077.811,8716.269,27859.861,23044.92,3609.707,84478.946,1177.362,1331.876,2336.688,7852.605,5213.854,5089.894,480.04,1662.293,2618.542,1028.931,1317.019,8107.394,27174.486,12505.051,4976.85,82872.882,SVK,0,7925
73,388.311,329.782,715.809,1694.431,4685.508,2033.655,199.138,1784.539,857.688,194.74,491.343,3728.363,7315.171,5338.904,2111.172,31868.554,568.743,792.697,1272.639,3055.759,3501.746,2249.804,268.304,1429.397,1137.664,299.508,507.855,3952.044,6119.669,4532.365,1460.585,31148.778,SVN,0.5664,1087075
74,1093.589,5067.642,3689.96,22306.86,5461.601,1781.857,349.622,2185.655,1305.8,229.033,14533.162,10545.333,7170.86,10586.072,1307.546,87614.592,1477.475,2517.683,2744.949,12576.082,9045.146,3655.492,303.498,1846.398,3113.854,980.584,1963.075,4386.599,19470.747,8317.747,3782.69,76182.02,ZAF,833.9309475,20821044
75,12671.223,24474.965,16050.775,21780.819,31938.909,15963.461,2206.286,7536.096,18557.744,3370.255,9023.692,25823.831,40601.802,64656.04,10715.703,305371.602,11266.321,15544.099,13656.187,51728.767,39071.738,16022.483,2559.635,7049.198,22966.047,3927.514,5069.06,23362.836,59176.702,50696.596,18341.991,340439.175,ESP,1065.723486,71908522
76,898.162,927.364,83.998,552,14.552,3.601,24.692,12.564,138.92,0.019,1553.55,31.111,0,0,0.098,4240.63,107.488,1426.377,668.151,892.055,1011.716,580.3,12.809,293.273,594.501,73.135,173.691,771.658,1925.509,1445.314,298.208,10274.185,SDN,5.666656141,328741
77,4565.997,1523.829,3730.053,13124.651,14101.774,6375.52,345.828,15257.719,2683.484,449.149,2051.476,14425.243,38022.867,21570.918,8123.903,146352.412,6895.09,4037.593,6036.04,16527.611,12447.217,7204.61,619.528,4298.378,5629.734,1267.766,2070.447,12761.752,37192.36,20304.89,9155.775,146448.789,SWE,0,0
78,844.298,2553.152,5838.96,2146.684,98312.801,5510.897,671.437,2273.701,3257.883,832.491,85451.154,9592.082,35967.351,5515.873,40539.929,299308.693,2086.145,4540.051,5986.149,8615.745,45620.403,7699.891,1323.099,5660.348,8203.134,2202.245,91320.246,12280.698,33026.004,19338.152,19599.186,267501.496,CHE,1581.353512,26737536
79,730.903,2235.349,8361.211,66755.098,5679.87,6560.793,347.362,1713.787,4540.659,883.444,47778.676,12570.224,39690.314,16359.952,4686.951,218894.592,4340.287,7428.233,8278.105,10688.043,14491.07,6609.078,1373.583,3113.521,7983.723,2162.62,57009.491,14991.5,77335.717,31282.816,10567.408,257655.195,ARE,16516.676,95306296
80,2131.595,7919.953,6857.114,8297.444,6055.079,7968.586,669.02,2386.857,26814.785,811.658,13968.974,18983.94,21915.387,26868.826,4929.897,156579.116,1702.272,6786.038,4177.775,38747.215,19600.027,16216.015,604.404,5049.132,11831.402,792.401,19147.829,29578.006,48316.919,23201.187,7679.027,233429.647,TUR,4800.237745,107917326
81,28.193,157.624,415.743,353.833,1297.349,102.607,12.885,34.009,591.094,67.016,53.594,627.407,1403.248,269.493,252.761,5666.857,192.506,243.484,417.546,815.877,663.384,386.318,72.421,211.674,589.585,46.985,1373.571,765.774,1284.534,392.548,255.201,7711.409,MKD,0,0
