,scalerank_left,airport_name,abbrev,location,gps_code,iata_code,wikipedia,wdid_score,ne_id,name,iso3,size,usage,top_20_busiest_airports,busiest_airport_ranking,amount_passed_through
36,8,Voronezh-Chertovitskoye,VOZ,terminal,UUOO,VOZ,http://en.wikipedia.org/wiki/Voronezh_International_Airport,4,1159114431,Russia,RUS,mid,civilian,0,0,0
37,8,Liverpool John Lennon,LPL,ramp,EGGP,LPL,http://en.wikipedia.org/wiki/Liverpool_John_Lennon_Airport,4,1159114447,United Kingdom,GBR,major,civilian,0,0,0
38,8,Vishakapatnam,VTZ,terminal,VEVZ,VTZ,http://en.wikipedia.org/wiki/Visakhapatnam_Airport,4,1159114465,India,IND,mid,civilian,0,0,0
39,8,Sultan Hasanuddin Int'l,UPG,terminal,WAAA,UPG,http://en.wikipedia.org/wiki/Sultan_Hasanuddin_International_Airport,4,1159114481,Indonesia,IDN,major,civilian,0,0,0
40,8,Vava'u Int'l,VAV,terminal,NFTV,VAV,http://en.wikipedia.org/wiki/Vava'u_International_Airport,4,1159114497,Tonga,TON,mid,civilian,0,0,0
41,8,Newcastle Int'l,NCL,terminal,EGNT,NCL,http://en.wikipedia.org/wiki/Newcastle_Airport,4,1159114519,United Kingdom,GBR,major,civilian,0,0,0
42,8,Goloson Int'l,LCE,terminal,MHLC,LCE,http://en.wikipedia.org/wiki/Golos%C3%B3n_International_Airport,4,1159114531,Honduras,HND,mid,civilian,0,0,0
43,8,Madinah Int'l,MED,terminal,OEMA,MED,http://en.wikipedia.org/wiki/Prince_Mohammad_Bin_Abdulaziz_Airport,4,1159114549,Saudi Arabia,SAU,major,civilian,0,0,0
44,8,Mirabel Int'l,YMX,terminal,CYMX,YMX,http://en.wikipedia.org/wiki/Montr%C3%A9al-Mirabel_International_Airport,4,1159114567,Canada,CAN,mid,civilian,0,0,0
45,8,Palanga Int'l,PLQ,terminal,EYPA,PLQ,http://en.wikipedia.org/wiki/Palanga_International_Airport,4,1159114587,Lithuania,LTU,mid,civilian,0,0,0
46,8,Jaipur Int'l,JAI,terminal,VIJP,JAI,http://en.wikipedia.org/wiki/Jaipur_International_Airport,4,1159114607,India,IND,mid,civilian,0,0,0
47,8,Sonari,IXW,terminal,VEJS,IXW,http://en.wikipedia.org/wiki/Sonari_Airport,4,1159114623,India,IND,mid,civilian,0,0,0
48,8,Yenisehir,YEI,ramp,LTBR,YEI,http://en.wikipedia.org/wiki/Yeni%C5%9Fehir_Airport,4,1159114643,Turkey,TUR,mid,civilian,0,0,0
49,8,Şakirpaşa,ADA,terminal,LTAF,ADA,http://en.wikipedia.org/wiki/Adana_%C5%9Eakirpa%C5%9Fa_Airport,4,1159114663,Turkey,TUR,major,civilian,0,0,0
50,8,Kodiak,ADQ,ramp,PADQ,ADQ,http://en.wikipedia.org/wiki/Kodiak_Airport,4,1159114685,United States of America,USA,mid,civilian,0,0,0
51,8,Amarillo Int'l,AMA,terminal,KAMA,AMA,http://en.wikipedia.org/wiki/Rick_Husband_Amarillo_International_Airport,4,1159114695,United States of America,USA,major,civilian,0,0,0
52,8,Alice Springs,ASP,terminal,YBAS,ASP,http://en.wikipedia.org/wiki/Alice_Springs_Airport,4,1159114713,Australia,AUS,mid,civilian,0,0,0
53,8,Raja Sansi Int'l,ATQ,terminal,VIAR,ATQ,http://en.wikipedia.org/wiki/Raja_Sansi_International_Airport,4,1159114737,India,IND,mid,military/civilian,0,0,0
54,8,Biju Patnaik,BBI,terminal,VEBS,BBI,http://en.wikipedia.org/wiki/Biju_Patnaik_Airport,4,1159114753,India,IND,mid,civilian,0,0,0
55,8,Bethel,BET,runway,PABE,BET,http://en.wikipedia.org/wiki/Bethel_Airport,4,1159114773,United States of America,USA,mid,civilian,0,0,0
56,8,Palonegro,BGA,terminal,SKBG,BGA,http://en.wikipedia.org/wiki/Palonegro_International_Airport,4,1159114791,Colombia,COL,mid,civilian,0,0,0
57,8,Birmingham Int'l,BHM,terminal,KBHM,BHM,http://en.wikipedia.org/wiki/Birmingham_International_Airport_(US),4,1159114807,United States of America,USA,major,civilian,0,0,0
58,8,Broken Hill,BHQ,terminal,YBHI,BHQ,http://en.wikipedia.org/wiki/Broken_Hill_Airport,4,1159114825,Australia,AUS,mid,civilian,0,0,0
59,8,Logan Int'l,BIL,terminal,KBIL,BIL,http://en.wikipedia.org/wiki/Billings_Logan_International_Airport,4,1159114843,United States of America,USA,major,civilian,0,0,0
60,8,Bismarck Muni.,BIS,terminal,KBIS,BIS,http://en.wikipedia.org/wiki/Bismarck_Municipal_Airport,4,1159114861,United States of America,USA,mid,civilian,0,0,0
61,8,Del Bajio Int'l,BJX,terminal,MMLO,BJX,http://en.wikipedia.org/wiki/Del_Baj%C3%ADo_International_Airport,4,1159114875,Mexico,MEX,mid,civilian,0,0,0
62,8,Benin,BNI,terminal,DNBE,BNI,http://en.wikipedia.org/wiki/Benin_Airport,4,1159114893,Nigeria,NGA,mid,civilian,0,0,0
63,8,Bourgas,BOJ,ramp,LBBG,BOJ,http://en.wikipedia.org/wiki/Burgas_Airport,4,1159114899,Bulgaria,BGR,major,civilian,0,0,0
64,8,Bremen,BRE,terminal,EDDW,BRE,http://en.wikipedia.org/wiki/Bremen_Airport,4,1159114933,Germany,DEU,major,civilian,0,0,0
65,8,Jacinto Lara Int'l,BRM,terminal,SVBM,BRM,http://en.wikipedia.org/wiki/Jacinto_Lara_International_Airport,4,1159114957,Venezuela,VEN,mid,civilian,0,0,0
66,8,Brownsville-South Padre Island Int'l,BRO,terminal,KBRO,BRO,http://en.wikipedia.org/wiki/Brownsville/South_Padre_Island_International_Airport,4,1159114971,United States of America,USA,mid,civilian,0,0,0
67,8,Bristol Int'l,BRS,terminal,EGGD,BRS,http://en.wikipedia.org/wiki/Bristol_International_Airport,4,1159114989,United Kingdom,GBR,major,civilian,0,0,0
68,8,Baton Rouge Metro,BTR,terminal,KBTR,BTR,http://en.wikipedia.org/wiki/Baton_Rouge_Metropolitan_Airport,4,1159115003,United States of America,USA,major,civilian,0,0,0
69,8,Bratislava-M.R. Štefánik,BTS,terminal,LZIB,BTS,http://en.wikipedia.org/wiki/M._R._%C5%A0tef%C3%A1nik_Airport,4,1159115025,Slovakia,SVK,major,civilian,0,0,0
70,8,Burlington Int'l,BTV,terminal,KBTV,BTV,http://en.wikipedia.org/wiki/Burlington_International_Airport,4,1159115045,United States of America,USA,mid,civilian,0,0,0
71,8,Columbia Metro,CAE,terminal,KCAE,CAE,http://en.wikipedia.org/wiki/Columbia_Metropolitan_Airport,4,1159115063,United States of America,USA,major,civilian,0,0,0
72,8,Calicut Int'l,CCJ,terminal,VOCL,CCJ,http://en.wikipedia.org/wiki/Calicut_International_Airport,4,1159115083,India,IND,major,civilian,0,0,0
73,8,Cocos (Keeling) Islands,CCK,terminal,YPCC,CCK,http://en.wikipedia.org/wiki/Cocos_(Keeling)_Islands_Airport,4,1159115105,None,None,mid,civilian,0,0,0
74,8,Corfu Int'l (Ioannis Kapodistrias),CFU,terminal,LGKR,CFU,http://en.wikipedia.org/wiki/Corfu_International_Airport,4,1159115125,None,None,mid,civilian,0,0,0
75,8,Changchun Longjia Int'l,CGQ,terminal,ZYCC,CGQ,http://en.wikipedia.org/wiki/Changchun_Longjia_International_Airport,4,1159115151,China,CHN,major,civilian,0,0,0
76,8,Charleston Int'l,CHS,terminal,KCHS,CHS,http://en.wikipedia.org/wiki/Charleston_International_Airport,2,1159115179,United States of America,USA,major,military/civilian,0,0,0
77,8,Coimbatore,CJB,terminal,VOCB,CJB,http://en.wikipedia.org/wiki/Coimbatore_Airport,4,1159115195,India,IND,mid,civilian,0,0,0
78,8,Someseni,CLJ,ramp,LRCL,CLJ,http://en.wikipedia.org/wiki/Cluj-Napoca_International_Airport,4,1159115215,Romania,ROU,mid,civilian,0,0,0
79,8,Ignacio Agramonte,CMW,terminal,MUCM,CMW,http://en.wikipedia.org/wiki/Ignacio_Agramonte_International_Airport,4,1159115239,Cuba,CUB,mid,civilian,0,0,0
80,8,Casper/Natrona County Int'l,CPR,terminal,KCPR,CPR,http://en.wikipedia.org/wiki/Casper/Natrona_County_International_Airport,4,1159115255,United States of America,USA,major,civilian,0,0,0
81,8,Clark Int'l,CRK,ramp,RPLC,CRK,http://en.wikipedia.org/wiki/Clark_International_Airport,2,1159115281,Philippines,PHL,major,civilian,0,0,0
82,8,Yeager,CRW,terminal,KCRW,CRW,http://en.wikipedia.org/wiki/Yeager_Airport,4,1159115293,United States of America,USA,major,military/civilian,0,0,0
83,8,Catania Fontanarossa,CTA,terminal,LICC,CTA,http://en.wikipedia.org/wiki/Catania-Fontanarossa_Airport,4,1159115313,Italy,ITA,major,civilian,0,0,0
84,8,Chetumal Int'l,CTM,terminal,MMCM,CTM,http://en.wikipedia.org/wiki/Chetumal_International_Airport,4,1159115333,Mexico,MEX,mid,civilian,0,0,0
