scalerank,featurecla,type,name,abbrev,location,gps_code,iata_code,wikipedia,natlscale,comments,wikidataid,name_ar,name_bn,name_de,name_en,name_es,name_fr,name_el,name_hi,name_hu,name_id,name_it,name_ja,name_ko,name_nl,name_pl,name_pt,name_ru,name_sv,name_tr,name_vi,name_zh,wdid_score,ne_id,lon,lat
9,Airport,mid and military,Faisalabad Int'l,LYP,terminal,OPFA,LYP,http://en.wikipedia.org/wiki/Faisalabad_International_Airport,8.00000,,Q31580,,,,Faisalabad International Airport,Aeropuerto Internacional de Faisalabad,aéroport international de Faisalabad,,,,Bandar Udara Internasional Faisalabad,aeroporto internazionale di Faisalabad,ファイサラーバード,파이살라바드 국제공항,,Port lotniczy Fajsalabad,,Фейсалабад,,,Sân bay quốc tế Faisalabad,費薩拉巴德,4,1159113971,72.98782,31.36274
9,Airport,mid,Omsk Tsentralny,OMS,terminal,UNOO,OMS,http://en.wikipedia.org/wiki/Omsk_Tsentralny_Airport,8.00000,,Q1432246,,,Flughafen Omsk,Omsk Tsentralny Airport,Aeropuerto de Omsk-Tsentralny,aéroport d'Omsk,,,,,Aeroporto di Omsk,オムスク中央空港,,Luchthaven Omsk,Port lotniczy Omsk,,Омск-Центральный,,Tsentralny Havalimanı,Sân bay Tsentralny,鄂木斯克,4,1159113991,73.31636,54.95765
9,Airport,mid,Novosibirsk Tolmachev,OVB,terminal,UNNT,OVB,http://en.wikipedia.org/wiki/Tolmachevo_Airport,8.00000,,Q1328849,مطار نوفوسيبيرسك,,Flughafen Nowosibirsk-Tolmatschowo,Tolmachevo Airport,Aeropuerto Internacional de Novosibirsk-Tolmachevo,aéroport de Novossibirsk-Tolmachevo,,,,Bandar Udara Tolmachevo Novosibirsk,Aeroporto di Novosibirsk-Tolmačëvo,トルマチョーヴォ空港,톨마초보 국제공항,Luchthaven Tolmatsjovo,Port lotniczy Nowosybirsk-Tołmaczowo,Aeroporto Internacional Tolmachevo,Толмачёво,Tolmatjovo flygplats,,Sân bay Tolmachevo,托尔马切沃机场,4,1159114013,82.66715,55.00958
9,Airport,mid and military,Zaporozhye Int'l,OZH,runway,UKDE,OZH,http://en.wikipedia.org/wiki/Zaporizhia_International_Airport,8.00000,,Q1432786,,,Flughafen Saporischschja,Zaporizhzhia International Airport,Aeropuerto Internacional de Zaporizhia-Mokre,aéroport international de Zaporijia,,,,,,ザポリージャ国際空港,,,Port lotniczy Zaporoże,,Запорожье,,Zaporijya Uluslararası Havalimanı,Sân bay quốc tế Zaporizhia,扎波羅熱國際機場,4,1159114037,35.30187,47.87326
9,Airport,mid,Simpang Tiga,PKU,terminal,WIBB,PKU,http://en.wikipedia.org/wiki/Sultan_Syarif_Qasim_II_International_Airport,8.00000,,Q938233,,,Flughafen Sultan Syarif Kasim II,Sultan Syarif Kasim II Airport,,aéroport international Sultan Syarif Qasim II,,,,Bandar Udara Internasional Sultan Syarif Kasim II,,スルタン・シャリフ・カシムII国際空港,,,Port lotniczy Pekanbaru,,,Sultan Syarif Kasim II International Airport,,Sân bay quốc tế Sultan Syarif Qasim II,北乾巴魯,4,1159114047,101.44657,0.46460
9,Airport,mid,Rota Int'l,ROP,terminal,PGRO,ROP,http://en.wikipedia.org/wiki/Rota_International_Airport,8.00000,,Q1187633,,,,Rota International Airport,Aeropuerto Internacional de Rota,,,,,Bandar Udara Internasional Rota,,ロタ国際空港,로타 국제공항,,Port lotniczy Rota,,Рота,Rota International Airport,,Sân bay Quốc tế Rota,羅塔國際機場,4,1159114063,145.24398,14.17177
9,Airport,mid,Surgut,SGC,terminal,USRR,SGC,http://en.wikipedia.org/wiki/Surgut_Airport,8.00000,,Q1432943,,,Flughafen Surgut,Surgut International Airport,Aeropuerto Internacional de Surgut,aéroport de Sourgout,,,,,Aeroporto di Surgut,スルグト空港,,Luchthaven Soergoet,Port lotniczy Surgut,,Сургут,,Surgut Havalimanı,,蘇爾古特國際機場,4,1159114081,73.40850,61.34017
9,Airport,mid,Tiruchirappalli,TRZ,terminal,VOTR,TRZ,http://en.wikipedia.org/wiki/Tiruchirappalli_Airport,8.00000,,Q56935,,তিরুচিরাপল্লী আন্তর্জাতিক বিমানবন্দর,Flughafen Tiruchirapalli,Tiruchirapalli Airport,Aeropuerto Internacional de Tiruchirapalli,aéroport international de Trichy,,तिरुचिरापल्ली विमानक्षेत्र,,,aeroporto internazionale di Tiruchirapalli,ティルチラーパッリ空港,,,,,,Tiruchirappalli International Airport,,Sân bay quốc tế Tiruchirappalli,蒂魯吉拉帕利,4,1159114099,78.70896,10.76036
9,Airport,mid,Turbat Int'l,TUK,terminal,OPTU,TUK,http://en.wikipedia.org/wiki/Turbat_International_Airport,8.00000,,Q2633549,مطار تربت الدولي,,,Turbat International Airport,Aeropuerto Internacional de Turbat,,,,,Bandar Udara Internasional Turbat,,トゥルバット,,,Port lotniczy Turbat,,Турбат,,,,土爾巴特國際機場,4,1159114117,63.02793,25.98879
9,Airport,mid,Quetta Int'l,UET,terminal,OPQT,UET,http://en.wikipedia.org/wiki/Quetta_International_Airport,8.00000,,Q31581,مطار كويته الدولي,,,Quetta International Airport,Aeropuerto Internacional de Quetta,aéroport international de Quetta,,,,Bandar Udara Internasional Quetta,aeroporto internazionale di Quetta,クエッタ国際空港,퀘타 국제공항,,Port lotniczy Kweta,,Кветта,,,Sân bay quốc tế Quetta,奎达国际机场,4,1159114135,66.94873,30.24904
9,Airport,mid,Zahedan Int'l,ZAH,terminal,OIZH,ZAH,http://en.wikipedia.org/wiki/Zahedan_International_Airport,8.00000,,Q559454,مطار زاهدان الدولي,,Flughafen Zahedan,Zahedan Airport,,Aéroport international de Zahedan,,,,Bandar Udara Zahedan,,ザーヘダーン空港,자헤단 공항,,Port lotniczy Zahedan,,,Zahedan International Airport,Zahedan Havalimanı,,扎黑丹機場,4,1159114153,60.90071,29.47529
9,Airport,mid and military,Abdul Rachman Saleh,MLG,ramp,WARA,MLG,http://en.wikipedia.org/wiki/Abdul_Rachman_Saleh_Airport,8.00000,,Q1936851,,,,Abdul Rachman Saleh Airport,,aéroport Abdul Rachman Saleh,,,,Bandar Udara Abdul Rachman Saleh,,マラン,,,Port lotniczy Abdul Rachman Saleh,,,Abdul Rachman Saleh Airport,,Sân bay Abdul Rachman Saleh,,4,1159114171,112.71142,-7.92998
9,Airport,mid,Barnaul,BAX,ramp,UNBB,BAX,http://en.wikipedia.org/wiki/Barnaul_Airport,8.00000,,Q1858312,,,,Barnaul Airport,Aeropuerto Internacional de Barnaúl-Guermán Titov,aéroport de Barnaoul,,,,,Aeroporto di Barnaul,バルナウル空港,,Luchthaven Barnaoel,Port lotniczy Barnauł,,Барнаул,,,Sân bay Barnaul,巴爾瑙爾機場,4,1159114187,83.55045,53.36339
9,Airport,military mid,Adampur,VIAX,runway,VIAX,,,8.00000,ok (military),Q20449639,,,,Adampur Air force base,,,,,,,,アダムプール空軍基地,,,,,,,,,,5,1159114195,75.75848,31.43294
9,Airport,military,Bareilly,VIBY,runway,VIBY,,http://en.wikipedia.org/wiki/Bareilly_Airport,8.00000,,Q2788745,,,,Bareilly Airport,,,,बरेली विमानक्षेत्र,,,,バレーリー空港,,,,,,,,,巴雷利機場,4,1159114211,79.45200,28.42181
9,Airport,small,Dhamial,OPQS,runway,OPQS,,http://en.wikipedia.org/wiki/Dhamial_Army_Airbase,8.00000,,Q1655437,,,,Dhamial Army Airbase,,,,,,,,ダミアル陸軍飛行場,,,,,,,,,,4,1159114231,73.03205,33.56141
9,Airport,major,Cheongju Int'l,CJJ,terminal,RKTU,CJJ,http://en.wikipedia.org/wiki/Cheongju_International_Airport,8.00000,,Q483675,,,Flughafen Cheongju,Cheongju International Airport,Aeropuerto Internacional de Cheongju,aéroport de Cheongju,,,,Bandar Udara Internasional Cheongju,,清州国際空港,청주국제공항,,Port lotniczy Cheongju,Aeroporto Internacional de Cheongju,Чхонджу,Cheongju International Airport,,Sân bay Cheongju,清州國際機場,4,1159114253,127.49592,36.72202
9,Airport,mid and military,Gwangju,KWJ,terminal,RKJJ,KWJ,http://en.wikipedia.org/wiki/Gwangju_Airport,8.00000,,Q485662,,,,Gwangju Airport,Aeropuerto de Gwangju,aéroport de Gwangju,,,,Bandar Udara Gwangju,,光州空港,광주공항,,Port lotniczy Kwangju,Aeroporto de Gwangju,,,,Sân bay Gwangju,光州機場,4,1159114271,126.81084,35.14001
9,Airport,mid,Daegu Int'l,TAE,terminal,RKTN,TAE,http://en.wikipedia.org/wiki/Daegu_Airport,8.00000,,Q483254,,,Flughafen Daegu,Daegu International Airport,Aeropuerto Internacional de Daegu,aéroport international de Daegu,,,,Bandar Udara Internasional Daegu,,大邱国際空港,대구국제공항,,Port lotniczy Taegu,Aeroporto Internacional de Daegu,Тэгу,Daegu International Airport,,Sân bay Daegu,大邱國際機場,4,1159114289,128.63754,35.89993
9,Airport,mid,Ulsan,USN,terminal,RKPU,USN,http://en.wikipedia.org/wiki/Ulsan_Airport,8.00000,,Q484730,,,,Ulsan Airport,Aeropuerto de Ulsan,aéroport d'Ulsan,,,,Bandar Udara Ulsan,,蔚山空港,울산공항,,Port lotniczy Ulsan,Aeroporto de Ulsan,,Ulsan Airport,,Sân bay Ulsan,蔚山機場,4,1159114319,129.35573,35.59290
9,Airport,mid,Radin Inten II,WIIT,terminal,WIAT,TKG,http://en.wikipedia.org/wiki/Radin_Inten_II_Airport,8.00000,,Q2199514,,,,Radin Inten II Airport,,aéroport Radin Inten II,,,,Bandar Udara Radin Inten II,,ラディン・インテン2世空港,,Luchthaven Radin Inten II,Port lotniczy Bandar Lampung-Radin Inten II,,,Radin Inten II Airport,,Sân bay Radin Inten II,雷丁·印甸二世機場,4,1159114325,105.17606,-5.24257
9,Airport,military,Allahabad,IXD,ramp,VIAL,IXD,http://en.wikipedia.org/wiki/Allahabad_Airport,8.00000,,Q1931319,,,,Allahabad Airport,,,,इलाहाबाद विमानक्षेत्र,,,,イラーハーバード空港,,,Port lotniczy Allahabad,,,Allahabad Airport,,Sân bay Allahabad,,4,1159114341,81.73173,25.44352
