Reporter,Partner,Product categories,Indicator Type,Indicator,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
,"Other Asia, nes",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,         285499.96,         304405.62,         299183.07,         267352.97,         259806.96,         234374.67,         175304.84,         212023.20,         205831.46,         185042.32,         159894.81,         140153.88,         108491.94,          92296.28,          78896.04,          85957.79,          63469.88,          55979.01,          65845.66,          67987.10,          65116.95,          53992.64,          47608.22,,,,,
,Singapore,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,          67796.93,          67118.17,          67781.22,          55807.50,          46110.24,          36938.30,          30008.27,          24723.67,,
,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,         791787.87,         780760.71,         735355.11,         719502.75,         670954.18,         608531.02,         483854.02,         602802.28,         590618.37,         561818.07,         492382.15,         437837.68,         371248.04,         348163.44,         328816.64,         369418.66,         320837.63,         295721.49,         285311.48,         266289.12,         267062.86,         246852.09,         215109.75,         160628.94,         142415.73,         139618.13,         141223.20,         114416.88
,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,         404929.67,         434503.95,         425119.78,         415746.65,         401666.88,         346003.41,         275544.69,         331998.68,         295185.60,         271380.40,         242457.76,         227586.20,         199968.64,         185786.49,         188810.33,         207203.78,         187212.71,         181342.58,         212826.80,         216390.55,         197436.72,         160477.16,         136460.35,         117871.35,         106856.71,         101595.57,          92250.82,          64850.66
,World,All Products,Tariff,Duty Free Imports (US$ Thousand),     2859339419.56,     3437475074.54,     2376535843.34,     2303061197.51,     3126263013.97,     2594639138.31,     1940297904.44,     2410631739.83,     1993351220.81,     1741822203.66,     1406252511.69,     1204510915.44,      955049080.73,      806726107.89,      696559998.39,      747706945.91,      583138582.75,      546735157.96,      632585348.55,      627507845.25,      333556472.26,      154245446.34,      162893636.31,      129230945.68,      145500338.56,      125839399.23,      147013124.67,      231279816.94
,World,Animal,Export,Export(US$ Mil),          67008.53,          76007.04,          67211.39,          63902.04,          63300.64,          52879.74,          43042.08,          46738.09,          40670.31,          36109.84,          34295.58,          32205.64,          28324.17,          26540.56,          26842.23,          25540.43,          22262.16,          21839.75,          23906.23,          23778.40,          23238.53,          21379.30,          18471.87,          17155.86,          13542.36,          12053.85,          11208.96,           4998.56
,World,Capital goods,Export,Export(US$ Mil),        2363887.49,        2413344.14,        2363709.71,        2303354.66,        2216860.15,        1997940.03,        1541921.37,        1784309.60,        1631821.87,        1421854.99,        1225118.98,        1073030.79,         841120.41,         688337.28,         626923.05,         716853.79,         580367.36,         519101.59,         547116.50,         526702.36,         520725.96,         427721.62,         350037.49,         279985.33,         243135.42,         214906.33,         199138.32,         158844.11
,World,Chemicals,Export,Export(US$ Mil),         270164.81,         296654.44,         287405.23,         287667.11,         291559.04,         234514.59,         180762.73,         212340.68,         187491.68,         159223.18,         139209.59,         122291.33,          97231.94,          77944.17,          72022.27,          75217.56,          65060.63,          58966.74,          63220.28,          59737.70,          59438.46,          46414.57,          38882.33,          32528.87,          25929.64,          23430.01,          21441.67,          16022.07
,World,Consumer goods,Export,Export(US$ Mil),        1641567.60,        1794008.45,        1706340.12,        1649104.49,        1547864.25,        1286690.84,        1009305.71,        1251170.12,        1089132.58,         939735.76,         806752.06,         696440.18,         584943.01,         508683.29,         472186.09,         494273.97,         411010.88,         392355.96,         423137.87,         387684.00,         385620.69,         344527.74,         310949.25,         228971.98,         168511.78,         150601.05,         138727.14,         107270.75
,World,Food Products,Export,Export(US$ Mil),          92813.40,          95061.55,          91376.74,          88103.16,          82360.60,          67204.60,          56115.02,          58701.40,          50637.15,          42845.83,          37557.91,          33327.49,          28627.81,          25352.39,          22692.72,          21741.60,          20212.65,          20142.15,          24341.25,          25473.28,          22858.24,          20385.09,          17750.87,          14076.81,           9882.53,           8844.15,           8076.15,           3169.40
