Reporter,Partner,Product categories,Indicator Type,Indicator,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,          13206.92,          11915.78,          12037.92,          12613.27,           9846.66,           8407.78,           8456.60,           6963.12,           5224.89,           4977.08,           4885.23,           5061.92,           5698.06,           5153.98,           4681.23,           3700.97,           1869.26,,,            153.36,            190.57,,
,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,           3451.13,,           2887.03,           2748.73,,,,,,           1130.90,            101.92,             90.82,,
,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          11945.39,          15131.21,          16120.96,          14383.67,          16863.89,          13437.14,          11044.85,          15039.48,          14082.00,          12389.75,           9891.60,           8545.05,           7694.68,           6153.67,           6063.23,           5212.09,           5143.62,           5443.42,           5843.70,           5745.08,           5430.77,           3906.94,           3017.90,           3140.96,             64.07,             72.71,,
,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          10344.18,          27959.80,          24644.92,          28816.36,          24976.53,          18464.55,          11936.01,          12289.23,,,,,,           3141.25,,           4780.73,           3696.24,,,,,,,,,,,
,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          12450.88,          18635.56,          21692.71,          16247.54,          14519.57,,,,,,,,,,,,,,,,,,,,,,,
,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,           6007.65,           4941.13,           4736.85,,           3028.62,,,,,,           2324.27,           1257.70,           1361.48,           1153.70,             82.65,             74.45,,
,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,           3534.99,,,           3392.57,           4002.58,           2544.85,           2481.67,           2097.60,             76.24,             79.27,,
,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,          19958.63,          19335.68,,,          11801.29,,          12042.59,,,           5467.42,           4720.43,           4094.92,           3108.99,,,,           2247.94,           3111.78,           2805.94,,,,,,,,
,South Africa,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           7845.48,,          17896.40,          21869.01,          17591.36,          14090.74,          10929.07,,          10796.93,,,,,,,,,,,,,,,,,,,
,South Africa,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          20195.63,          23790.84,          26156.86,          25995.73,          26997.19,          21395.86,          20294.58,          18635.29,          16507.59,          13028.30,          11151.23,          12538.78,          10354.78,           9306.93,           7555.75,           6567.74,,,,,,,,,            246.97,            192.33,,
,Spain,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,          16620.26,,,,,,,,           8111.57,,,,,,,,,,           2811.36,,,,,,,,
,Special Categories,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,           4104.19,,           5704.66,           9600.41,           6900.32,           7018.33,,,,
,Special Categories,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,           3875.51,           6627.13,,,,           1647.13,           2285.26,,,,
,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           7461.41,,,,,,,,,,,,,,,,,,,,,           1784.03,           2497.02,,,,,
,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,          19963.89,          19047.31,,,          12104.51,          11749.40,          11327.33,          11276.90,           9977.69,           8785.64,           6942.93,           7767.38,           6875.68,           4535.83,           3377.53,           3080.72,           4948.40,           3594.17,           2266.08,           2044.60,           1756.57,             63.47,             68.56,,
,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,           6031.76,           5227.18,           5082.57,           4681.36,           4502.18,           5288.04,           5397.81,           5196.30,           4381.81,           2913.22,           2165.96,           2091.04,            144.26,            159.08,,
,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           9057.45,          16020.98,          23095.31,          41732.37,          58237.15,          50439.34,          32585.87,          52101.01,          49841.32,          38591.56,          10899.81,           8966.18,          15122.65,          11267.63,          13835.84,          17154.41,          10412.97,           8223.43,           9480.88,           9630.98,           3365.64,           3137.88,           3852.35,           1654.22,            113.68,            100.33,,
,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          10277.13,          18472.73,          18127.90,          20474.04,          26467.72,          21049.16,          13220.16,          13701.61,          15880.98,          11496.02,           7207.12,           6407.87,           7738.11,           5803.13,           6067.28,           5191.39,           5426.41,           5811.88,           6128.89,           5712.09,           4201.52,           2676.07,           2561.39,           2678.28,,,,
,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,           3914.83,,,,,,,,,,,,
,World,All Products,Tariff,Duty Free Imports (US$ Thousand),      103231498.48,      118677685.99,      124925175.06,      111335828.28,      114218129.15,       92397946.67,       80857830.33,      103603113.50,       76811248.65,       72081974.22,       55625636.07,       42446407.49,       25048308.46,       26503595.30,       25925431.57,       19573260.97,       15885380.09,        1887193.27,       17518016.66,        9566656.30,        1486347.18,         552754.69,        6187852.69,          14840.29,        4459724.82,        4306583.87,,
,World,Animal,Export,Export(US$ Mil),           3547.55,           4564.95,           4691.28,           5498.58,           4459.11,           4537.85,           3857.51,           3481.97,           3110.89,           2686.59,           2762.95,           2642.51,           2309.06,           1978.60,           1919.33,           1741.17,            868.61,            829.46,            883.22,            780.83,            703.39,            489.34,            363.63,            356.25,             55.96,             45.02,,
