rundate,reporting_period,reporting_airport_group_name,reporting_airport_name,total_freight,freight_set_down_scheduled_UK,freight_picked_up_scheduled_UK,freight_set_down_scheduled_foreign_EU,freight_picked_up_scheduled_foreign_EU,freight_set_down_scheduled_foreign_non_EU,freight_picked_up_scheduled_foreign_non_EU,freight_set_down_charter_UK,freight_picked_up_charter_UK,freight_set_down_charter_foreign_EU,freight_picked_up_charter_foreign_EU,freight_set_down_charter_foreign_non_EU,freight_picked_up_charter_foreign_non_EU
4/12/2019 2:30:31 PM,201902,Other UK Airports,PRESTWICK,941.631000,0.000000,0.000000,603.820000,265.580000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,33.200000,39.031000
4/12/2019 2:30:31 PM,201902,Other UK Airports,SCATSTA,23.541000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.331000,13.210000,0.000000,0.000000,0.000000,0.000000
4/12/2019 2:30:31 PM,201902,Other UK Airports,SOUTHAMPTON,15.268000,3.569000,11.699000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4/12/2019 2:30:31 PM,201902,Other UK Airports,STORNOWAY,15.067000,13.904000,1.163000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4/12/2019 2:30:31 PM,201902,Other UK Airports,SUMBURGH,18.588000,12.117000,0.537000,0.000000,0.000000,0.000000,0.000000,2.283000,3.651000,0.000000,0.000000,0.000000,0.000000
4/12/2019 2:30:31 PM,201902,Other UK Airports,TIREE,0.854000,0.802000,0.052000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4/12/2019 2:30:31 PM,201902,Non UK Reporting Airports,ALDERNEY,7.392000,5.072000,2.320000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4/12/2019 2:30:31 PM,201902,Non UK Reporting Airports,GUERNSEY,82.434000,12.361000,6.422000,0.000000,0.000000,0.000000,0.000000,37.910000,1.922000,15.446000,8.373000,0.000000,0.000000
4/12/2019 2:30:31 PM,201902,Non UK Reporting Airports,ISLE OF MAN,3.817000,2.031000,1.473000,0.167000,0.146000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4/12/2019 2:30:31 PM,201902,Non UK Reporting Airports,JERSEY,92.914000,9.419000,5.558000,30.716000,14.302000,0.000000,0.000000,0.000000,0.000000,32.159000,0.760000,0.000000,0.000000

