Reporter,Partner,Product categories,Indicator Type,Indicator,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
,Special Categories,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,          25977.24,          21413.11,          19266.64,,,,,,
,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,            213.57,            212.69,
,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,,            621.72,            546.48,
,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,             27.52,,
,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,           9639.36,           7939.21,           5495.24,           6947.56,           6788.37,,           4389.19,           4528.57,           4022.30,            308.35,            263.28,
,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          30638.22,,          33525.54,          39504.69,          43762.79,          41227.44,          33823.14,          48985.79,          45364.87,          39477.69,          32128.27,          27264.53,          21610.06,          18467.33,          17683.06,          18637.71,          22682.41,          11443.26,          10524.64,          18423.85,          16444.30,           9508.27,           9781.01,          12948.50,          11384.89,,,
,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          70168.68,          81206.15,          78509.04,          73103.96,          61708.67,          54390.30,          46666.94,          58242.48,          45292.62,          33577.62,          28053.44,          25836.20,          21040.77,          22017.90,          22225.53,          21294.52,          19788.86,          17506.89,          10634.22,          17057.96,          16691.40,           9725.67,           9030.89,           9555.44,           6876.36,            250.80,            190.82,
,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,         347548.07,         420387.01,         474463.63,         373700.71,         435268.50,         286443.11,         197118.39,         292997.68,         218600.08,         216619.64,         149159.50,         146562.31,         118979.02,          93821.99,          70480.96,          78920.52,          31695.53,          45500.32,           7724.22,           6784.02,,,           6479.69,           7622.02,          11799.00,           5046.05,            297.23,
,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,         114782.34,          51335.29,          48119.26,          44477.42,          75142.04,,          61077.91,          48109.83,          39907.78,          64621.21,          27322.30,          30140.45,          26225.87,          14944.86,,,,,,,,,,,,,,
,World,All Products,Tariff,Duty Free Imports (US$ Thousand),      354699927.11,      351583532.34,      253488607.10,      262991361.58,      183998449.73,       50589767.34,      160735878.73,      204212708.75,      157075967.38,       97999973.32,      109282204.83,       53757644.79,       30382878.46,       29284479.43,       24470927.49,       26681020.11,       19791988.85,         924497.54,        1030152.79,        1520060.50,         218607.54,        2284911.25,       17232829.34,         565716.26,,         121882.40,,
,World,Animal,Export,Export(US$ Mil),           5953.19,           6318.82,           5735.57,           5175.19,           5922.94,           5672.83,           4937.72,           4982.23,           3514.88,           3361.32,           2918.27,           3192.29,           2714.76,           3118.24,           1515.92,           1464.06,           1286.55,           1190.41,           1027.93,           1033.35,           1076.00,            802.73,            705.48,            271.15,            172.20,             65.11,             64.26,
,World,Capital goods,Export,Export(US$ Mil),          55205.40,          90926.65,          87694.76,          73931.53,          30880.58,          29272.02,          28520.41,          38465.82,          29422.83,          19352.66,          24142.47,          15042.19,          12140.68,          10579.87,          11115.30,          12501.62,          12185.63,          11078.13,           9022.66,           8283.73,           7366.89,           2026.80,           1019.80,           1050.83,            684.81,             65.77,             68.98,
,World,Chemicals,Export,Export(US$ Mil),          47602.91,          60843.22,          58462.78,          60472.73,          60187.19,          46838.00,          32999.92,          43548.15,          27277.84,          25689.36,          21989.96,          16958.59,          13392.75,          11525.85,          10951.49,           9644.45,           9042.81,           8463.68,           5614.14,           7325.20,           7597.10,           4141.90,           3007.80,           3639.25,           2033.37,             18.56,             13.70,
,World,Consumer goods,Export,Export(US$ Mil),         233405.86,         358464.14,         357682.33,         215119.08,         274057.65,         224665.85,         149178.66,         258081.90,         196358.58,         140443.48,         121746.54,          90287.98,          71446.74,          60177.00,          57266.43,          51527.21,          30733.94,          21120.30,          19096.98,          15822.60,          14957.51,           9613.16,          10207.93,           9281.23,           4852.82,            331.81,            164.73,
,World,Food Products,Export,Export(US$ Mil),          10957.72,          14635.19,          14050.19,          12023.97,          10830.87,          10802.32,           8230.29,           8132.45,           5584.85,           5311.94,           4573.77,           3998.35,           3395.20,           2929.29,           2668.47,           2072.49,           1949.64,           1551.55,           1546.27,           1376.04,           1337.05,            752.45,            682.59,            273.09,            249.34,             10.47,             22.69,
,World,Footwear,Export,Export(US$ Mil),           1369.57,           1718.67,           1598.57,           1503.14,           1566.55,           1561.32,           1375.05,           1584.79,           1590.89,           1357.78,           1144.88,           1190.62,           1178.72,           1041.31,            776.61,            635.63,            663.18,            580.25,            493.18,            393.38,            364.32,            281.70,            266.38,            158.20,            104.43,              1.56,              0.60,
,World,Fuels,Export,Export(US$ Mil),         436726.95,         815507.67,         903714.63,         809865.45,         941358.44,         677972.56,         422289.10,         715962.83,         523162.53,         498399.54,         373904.94,         302992.75,         227044.25,         185153.53,         177204.57,         188985.50,         100414.43,          59188.31,          37681.55,          68673.45,          57989.30,          53018.71,          53069.75,          62536.93,          48528.86,           5056.81,           3505.81,
,World,Hides and Skins,Export,Export(US$ Mil),            773.49,           1140.06,           1105.75,            947.83,           1051.57,            939.41,            622.93,            690.31,            680.58,            694.02,            576.87,            601.82,            563.19,            527.41,            454.99,            395.28,            263.69,            247.76,            287.07,            242.06,            252.23,            182.28,            124.32,             64.06,             45.58,              0.42,              0.15,
,World,Intermediate goods,Export,Export(US$ Mil),         132820.42,         151270.78,         163217.88,         155240.71,         120013.65,          94149.32,          66298.09,         111741.54,          78403.69,          58081.55,          57839.99,          43589.68,          34206.09,          29964.70,          27573.34,          26005.34,          20712.45,          19592.07,          15786.50,          17778.18,          18383.85,           7705.12,           5219.48,           6669.91,           4309.31,            100.71,            101.41,
,World,Mach and Elec,Export,Export(US$ Mil),          48106.48,          83209.45,          80628.75,          68654.49,          42397.56,          37984.15,          34479.44,          35816.45,          25735.66,          26834.78,          23778.44,          18254.04,          15388.61,          12900.83,          12410.13,          13035.65,          12184.29,           9836.42,           7993.51,           7506.33,           6767.89,           1916.44,           1381.11,            877.04,            536.25,             33.58,             38.22,
,World,Metals,Export,Export(US$ Mil),          25246.07,          29114.80,          28107.99,          27933.44,          23707.03,          19319.45,          15085.40,          19026.28,          14212.73,          14821.42,          11208.40,           9434.61,           6860.66,           5995.09,           5368.85,           5290.26,           3702.52,           2609.94,           2057.72,           2203.33,           2442.70,           1169.36,           1026.34,           1138.17,            871.56,             64.63,             73.26,
,World,Minerals,Export,Export(US$ Mil),           6047.97,           6234.99,           7115.47,           8052.37,          10136.87,           7356.75,           3879.38,           7278.79,           3491.93,           3922.99,           2706.57,           2521.50,           2179.49,           2350.00,           1611.33,           1423.86,           1417.59,           1280.36,           1172.58,            908.39,           1041.58,            811.93,            589.91,            345.14,            203.70,              0.29,              0.30,
,World,Miscellaneous,Export,Export(US$ Mil),         201817.39,         141620.37,         120677.10,          95355.45,          98300.16,          75131.30,          73563.82,          63495.06,          56362.60,          44721.63,          39660.57,          39801.93,          33236.66,          23901.72,           8904.37,           7296.29,           3194.46,           2119.83,           1768.95,           1424.51,           1661.84,            341.83,            306.53,            191.10,            185.10,             27.68,             29.31,
,World,Plastic or Rubber,Export,Export(US$ Mil),          26768.81,          32976.97,          35595.59,          32542.24,          31136.11,          25781.11,          17493.22,          17648.92,          15552.04,          13453.38,          10439.93,           8281.74,           5922.43,           5030.19,           4927.07,           4153.53,           2991.81,           2662.71,           1501.76,           2478.90,           2727.21,           1113.46,            903.62,           1533.04,            975.92,              6.80,              5.15,
,World,Raw materials,Export,Export(US$ Mil),         321451.40,         599284.90,         678285.07,         600371.74,         647762.85,         459068.09,         271574.23,         550811.49,         399571.13,         335881.75,         302433.78,         209313.05,         161994.49,         129973.28,         123977.29,         126840.29,          70608.20,          51235.82,          33035.22,          58261.72,          50917.43,          43660.92,          42780.65,          50623.17,          42435.21,           4992.29,           3579.83,
,World,Stone and Glass,Export,Export(US$ Mil),          64635.57,          68687.81,          77194.31,          85855.43,          73093.34,          56746.01,          41472.55,          50855.57,          36864.94,          29852.35,          27185.48,          23361.65,          16962.56,          14245.48,          11668.33,          11833.11,           9461.51,           7452.55,           7831.00,           7182.78,           6626.53,            276.31,            532.33,            159.24,            105.77,              9.01,              2.24,
,World,Textiles and Clothing,Export,Export(US$ Mil),          16044.72,          18278.73,          17619.08,          16490.45,          18177.70,          18173.11,          16257.80,          17772.21,          16275.48,          16016.64,          14072.82,          15893.42,          14873.28,          13794.15,          11994.55,          10847.35,          10183.81,           8741.58,           6587.52,           5839.43,           6043.40,           4306.24,           3081.78,           1704.75,           1434.00,             29.30,             11.98,
,World,Transportation,Export,Export(US$ Mil),          26127.08,          32112.06,          27115.39,          21684.39,          16804.08,          17274.59,          17057.08,          14983.83,          13343.98,          11478.67,           8602.66,           6787.23,           4995.22,           4179.90,           3707.70,           3081.98,           2634.42,           1861.64,           1584.71,           1463.42,           1477.66,            970.69,           1335.02,            772.81,            526.67,            156.20,            143.35,
,World,Vegetable,Export,Export(US$ Mil),          12429.60,          12161.33,          12282.73,          10978.22,          14993.19,          15085.64,          10791.51,          10348.81,           8233.40,           8806.48,           7368.81,           6542.68,           6359.71,           5658.22,           4583.33,           3348.13,           3850.33,           3240.45,           2849.19,           2313.71,           2681.67,           1497.53,           1375.63,            798.80,            610.51,             19.52,             16.77,
,World,Wood,Export,Export(US$ Mil),           4586.81,           5246.17,           5157.58,           4687.58,           4368.06,           4101.64,           3505.40,           3615.30,           2890.56,           2375.09,           2050.70,           1735.76,           1553.61,           1286.72,           1000.95,            913.91,            805.40,            646.01,            460.27,            518.34,            584.28,            376.30,            284.47,            156.01,            141.91,              4.47,              4.99,
,World,All Products,Export,Exports (in US$ Mil),         935194.34,        1329806.29,        1396161.49,        1262222.36,        1354031.65,        1020740.19,         704040.60,        1015741.99,         754774.89,         707097.39,         552183.09,         461548.99,         356621.10,         293637.92,         259748.67,         264421.47,         164046.44,         111673.44,          80457.35,         110882.63,         100670.78,          71959.85,          68673.07,          74618.78,          56111.93,           5504.42,           3932.78,
,World,Capital goods,Import,Import(US$ Mil),         199724.83,         249895.31,         226943.29,         195174.02,         141300.24,         143594.51,         107549.66,         173937.15,         134878.50,          79975.80,          95939.54,          73652.14,          57626.72,          51338.83,          45799.45,          42951.16,          39648.21,          39696.55,          27385.48,          27426.40,          28091.33,          17988.56,          16480.64,          15807.91,          10959.58,            616.17,            608.24,
,World,Consumer goods,Import,Import(US$ Mil),         258082.86,         325070.68,         294964.18,         256779.56,         177192.82,         172949.64,         121132.61,         204506.59,         153066.92,          94675.49,         102128.99,          73855.57,          60202.37,          50389.79,          48433.13,          42262.41,          34141.72,          34837.40,          23656.81,          26454.33,          26872.61,          16968.48,          17567.98,          18024.67,          14708.45,           1149.41,            898.82,
,World,Intermediate goods,Import,Import(US$ Mil),         194933.54,         241354.52,         232925.11,         213861.82,         152603.79,         141783.51,          97886.97,         194725.40,         134937.52,          78546.01,          97556.96,          74469.13,          58994.28,          50483.70,          46245.84,          39672.50,          37754.15,          41134.57,          29827.89,          30703.19,          32748.03,          21275.27,          18467.17,          18176.89,          12381.63,            496.53,            439.97,
,World,Raw materials,Import,Import(US$ Mil),          79542.99,         106145.28,          99831.47,          90992.60,          84859.32,          70476.08,          50327.65,          85967.41,          59943.90,          43295.27,          44766.74,          34616.67,          27640.35,          25945.34,          24136.30,          22754.45,          20008.57,          17760.93,          17859.99,          17237.10,          17404.95,           8724.19,           6101.95,           4560.36,           2929.85,            245.91,            233.71,
,World,All Products,Import,Imports (in US$ Mil),         840584.14,         952215.64,         894214.55,         809037.82,         780767.60,         666447.82,         542540.35,         682110.63,         509388.57,         430902.18,         361214.59,         341414.68,         266740.27,         229335.11,         207774.03,         181893.60,         159295.36,         135513.67,          99744.72,         103170.36,         106280.99,          65643.57,          59479.85,          57310.10,          41740.37,           2681.23,           2257.34,
,...,...,Development,"GNI per capita, Atlas method (current US$)",   8202.26,   8653.75,   8664.78,   8123.49,   7291.39,   6876.43,   6471.06,   6279.03,   5397.70,   4682.84,   4121.25,   3623.16,   3198.23,   2949.06,   2963.25,   2872.51,   2724.32,   2767.18,   2767.94,   2621.16,   2405.66,,,,,,,
,...,...,Trade Indicator,HH Market concentration index,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,...,...,Trade Indicator,Index of export market penetration,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,...,...,Development,Trade (% of GDP),     81.12,     84.89,     86.70,     87.41,     85.73,     82.79,     81.70,     89.64,     86.95,     84.48,     84.12,     80.44,     75.62,     70.36,     67.86,     66.88,     62.20,     60.42,     62.68,     58.29,     58.65,     58.93,     61.24,     61.87,     66.21,     62.94,     61.23,     56.33
,...,...,Development,Trade Balance (% of GDP),     -1.59,      7.30,     10.89,     11.61,     13.01,      8.13,      4.55,     13.03,     12.06,     15.04,     13.79,      9.73,      8.41,      7.28,      6.65,     10.92,      5.26,     -1.05,      4.67,      3.02,      1.40,      1.57,     -3.12,     -6.47,    -12.86,     -4.21,     -7.14,     -6.08
,...,...,Development,Trade in services (% of GDP),     18.25,     16.98,     15.40,     15.68,     16.55,     18.72,     20.70,     19.11,     19.98,     19.24,     18.35,,,,,     14.99,     14.60,     14.56,     15.13,     14.55,     14.98,     16.47,     18.72,     21.48,     21.48,     13.41,     13.73,     12.59
,China,All Products,Export,Partner share(%)-Top 5 Export Partner,      3.57,      3.83,,,      2.97,,,,,,,,,,,,,,,,,,,,,,,
,China,All Products,Import,Partner share(%)-Top 5 Import Partner,     10.82,     12.95,     10.75,     10.38,      8.95,      9.71,      8.84,      8.80,      8.00,      7.06,      6.36,      5.62,,,,,,,,,,,,,,,,
,France,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,,,,,      5.59,      6.31,      8.49,      7.12,      7.72,      9.22,      6.03,      4.39,      1.79,,,
,France,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,      5.36,,,      5.60,      6.25,      7.05,      7.19,      6.88,      7.47,      7.97,      8.86,      9.60,      9.54,      9.03,      9.73,     11.92,     11.75,     10.35,      6.77,,,
,Germany,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,      3.07,,,,,,,,,,
,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,      5.61,      5.63,      5.46,      5.45,      5.34,      6.51,      6.24,      6.02,      6.47,      5.93,      7.16,      6.99,      7.34,      7.91,      7.70,      7.66,      8.04,      8.36,      9.25,      8.28,      8.61,      8.45,,      8.20,      8.26,      4.85,      5.49,
,India,All Products,Export,Partner share(%)-Top 5 Export Partner,      3.20,      3.23,      3.26,      4.04,      4.19,      4.32,      3.76,,,,,,,,,,,,,,,,,,,,,
,India,All Products,Import,Partner share(%)-Top 5 Import Partner,      4.21,      4.47,      4.99,      5.15,      5.69,      5.69,,,,,,,,,,,,,,,,,,,,,,
,"Iran, Islamic Rep.",All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,      0.32,,
,Italy,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,      3.44,      3.29,      4.36,      4.28,      3.47,      3.88,      4.12,      5.39,      6.23,      6.79,      3.99,,      4.43,      9.18,,      6.38,      6.91,,,,,,
,Italy,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,      5.15,,,,,,,      5.59,      6.02,      6.64,      6.19,      6.76,      7.63,      8.46,      7.73,      7.51,      7.69,      7.23,,,,,
,Japan,All Products,Export,Partner share(%)-Top 5 Export Partner,,      3.35,      3.33,      3.25,,,,      6.46,      8.29,      9.84,     10.89,      7.57,      7.85,      6.74,      8.64,      9.17,      9.92,,      7.52,      7.83,      9.51,     10.49,,,,,     34.61,
,Japan,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,,      5.81,      5.81,,,,,,      5.67,      6.10,,,,,,      7.07,      9.62,     11.83,     12.85,     16.98,     15.70,
,"Korea, Rep.",All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,     28.79,
,Monaco,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,     13.61,     14.22,     16.92,,,
,"Other Asia, nes",All Products,Export,Partner share(%)-Top 5 Export Partner,     15.97,     20.86,     22.42,     24.72,     26.68,     24.45,     21.57,     21.17,     18.40,     20.01,     19.84,     17.47,     15.95,     14.64,     16.55,     19.51,     15.48,,,,,,     22.61,     23.74,     26.78,,      8.62,
,Saudi Arabia,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,      0.61,,
,Special Categories,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,     23.43,     21.27,     26.77,,,,,,
,United Arab Emirates,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,      3.88,      5.41,
,United Arab Emirates,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,,     23.19,     24.21,
,United Kingdom,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,      0.50,,
,United Kingdom,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,,,,,,,,,,,      6.05,      5.86,      5.51,      6.73,      6.39,,      7.38,      7.90,      9.64,     11.50,     11.66,
,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,      3.28,,      2.40,      3.13,      3.23,      4.04,      4.80,      4.82,      6.01,      5.58,      5.82,      5.91,      6.06,      6.29,      6.81,      7.05,     13.83,     10.25,     13.08,     16.62,     16.33,     13.21,     14.24,     17.35,     20.29,,,
,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,      8.35,      8.53,      8.78,      9.04,      7.90,      8.16,      8.60,      8.54,      8.89,      7.79,      7.77,      7.57,      7.89,      9.60,     10.70,     11.71,     12.42,     12.92,     10.66,     16.53,     15.71,     14.82,     15.18,     16.67,     16.47,      9.35,      8.45,
,Unspecified,All Products,Export,Partner share(%)-Top 5 Export Partner,     37.16,     31.61,     33.98,     29.61,     32.15,     28.06,     28.00,     28.85,     28.96,     30.64,     27.01,     31.75,     33.36,     31.95,     27.13,     29.85,     19.32,     40.74,      9.60,      6.12,,,      9.44,     10.21,     21.03,     91.67,      7.56,
,Unspecified,All Products,Import,Partner share(%)-Top 5 Import Partner,     13.66,      5.39,      5.38,      5.50,      9.62,,     11.26,      7.05,      7.83,     15.00,      7.56,      8.83,      9.83,      6.52,,,,,,,,,,,,,,
,World,All Products,Trade Indicator,Country Growth (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,All Products,Tariff,Duty Free Tariff Lines Share (%),     40.50,     41.81,     41.19,     38.93,     17.63,     15.44,     27.53,     31.24,     31.28,     26.92,     29.13,     17.80,     11.58,     12.36,     10.75,     11.16,     14.31,      3.20,      5.22,     18.61,      0.70,      2.33,     24.46,      2.92,,      1.30,,
,World,Animal,Export,Export Product share(%),      0.64,      0.48,      0.41,      0.41,      0.44,      0.56,      0.70,      0.49,      0.47,      0.48,      0.53,      0.69,      0.76,      1.06,      0.58,      0.55,      0.78,      1.07,      1.28,      0.93,      1.07,      1.12,      1.03,      0.36,      0.31,      1.18,      1.63,
,World,Capital goods,Export,Export Product share(%),      5.90,      6.84,      6.28,      5.86,      2.28,      2.87,      4.05,      3.79,      3.90,      2.74,      4.37,      3.26,      3.40,      3.60,      4.28,      4.73,      7.43,      9.92,     11.21,      7.47,      7.32,      2.82,      1.49,      1.41,      1.22,      1.19,      1.75,
,World,Chemicals,Export,Export Product share(%),      5.09,      4.58,      4.19,      4.79,      4.45,      4.59,      4.69,      4.29,      3.61,      3.63,      3.98,      3.67,      3.76,      3.93,      4.22,      3.65,      5.51,      7.58,      6.98,      6.61,      7.55,      5.76,      4.38,      4.88,      3.62,      0.34,      0.35,
,World,Consumer goods,Export,Export Product share(%),     24.96,     26.96,     25.62,     17.04,     20.24,     22.01,     21.19,     25.41,     26.02,     19.86,     22.05,     19.56,     20.03,     20.49,     22.05,     19.49,     18.73,     18.91,     23.74,     14.27,     14.86,     13.36,     14.86,     12.44,      8.65,      6.03,      4.19,
,World,Food Products,Export,Export Product share(%),      1.17,      1.10,      1.01,      0.95,      0.80,      1.06,      1.17,      0.80,      0.74,      0.75,      0.83,      0.87,      0.95,      1.00,      1.03,      0.78,      1.19,      1.39,      1.92,      1.24,      1.33,      1.05,      0.99,      0.37,      0.44,      0.19,      0.58,
,World,Footwear,Export,Export Product share(%),      0.15,      0.13,      0.11,      0.12,      0.12,      0.15,      0.20,      0.16,      0.21,      0.19,      0.21,      0.26,      0.33,      0.35,      0.30,      0.24,      0.40,      0.52,      0.61,      0.35,      0.36,      0.39,      0.39,      0.21,      0.19,      0.03,      0.02,
,World,Fuels,Export,Export Product share(%),     46.70,     61.33,     64.73,     64.16,     69.52,     66.42,     59.98,     70.49,     69.31,     70.49,     67.71,     65.65,     63.67,     63.06,     68.22,     71.47,     61.21,     53.00,     46.83,     61.93,     57.60,     73.68,     77.28,     83.81,     86.49,     91.87,     89.14,
