Reporter,Partner,Product categories,Indicator Type,Indicator,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          19387.96,          25358.06,,          27837.65,,,          17993.76,          24864.54,          20261.70,          16604.47,          13292.24,          12206.82,          10653.04,           7331.24,,,,,           7407.87,           7278.93,           6194.34,           6122.02,           4654.13,           3414.27,           3208.12,           3250.76,           2816.03,
,"Other Asia, nes",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,          33451.94,,,,,,,,,,,,,,,,,,,,,,,,,
,Spain,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,           2519.56,           2431.21,,
,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,         394753.05,         425185.53,         407749.91,         402431.47,         382938.55,         322820.27,         256153.05,         355894.31,         307764.71,         326885.22,         283021.32,         249482.27,         204247.22,         194722.83,         188467.83,         204172.13,         165750.64,         139881.77,         135850.36,         120849.24,          99558.62,          81717.48,          60263.63,          52406.75,          31305.64,          27839.00,           7898.54,
,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,         301342.77,         335106.81,         333651.27,         336714.78,         319576.12,         259739.44,         208775.86,         268396.71,         232149.76,         206963.59,         185453.27,         164578.74,         150692.71,         152866.07,         165651.87,         177459.48,         153963.62,         149375.21,         138822.16,         111920.82,          96012.05,          86990.65,          69148.73,          59888.24,          35348.50,          25896.59,           4139.39,
,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,          67782.62,          81304.18,          83243.99,          61827.73,          55996.14,          38656.41,,          19319.22,          20628.96,          13400.84,,           9385.20,           8124.21,,,,,,,,,,,,,
,World,All Products,Tariff,Duty Free Imports (US$ Thousand),      450230482.01,      586890968.42,      416491981.24,      432214402.14,      438147188.55,      335710964.66,      338456658.86,      463345056.87,      357643323.85,      309097303.65,      238182504.73,      214110493.85,       42358110.21,       85874804.90,       42892436.30,       32646023.03,       17719493.42,       24680681.97,       21963495.09,       16285019.72,       36394630.43,        5604487.38,        7348945.97,        6276033.66,       11785871.80,        7698031.18,        1322713.98,
,World,Animal,Export,Export(US$ Mil),          36534.74,          43054.13,          39082.52,          36274.82,          35722.68,          29940.20,          26797.05,          30988.25,          25160.09,          22055.59,          19831.01,          16500.80,          12385.66,          10281.45,          10085.06,           9444.86,           9191.83,           9290.50,           9394.21,           8442.43,           8099.51,           6679.90,           5014.95,           3373.48,           2967.39,           1902.85,            729.58,
,World,Capital goods,Export,Export(US$ Mil),         228351.07,         229542.58,         219842.91,         208714.04,         190427.02,         167001.24,         127344.24,         160891.01,         143265.24,         138853.80,         122149.67,         108313.22,          91328.57,          86811.55,          87128.26,          87803.56,          72666.36,          61378.31,          53506.54,          43525.24,          36822.48,          30698.12,          24652.41,          20283.00,           9913.56,           8815.51,           5495.03,
,World,Chemicals,Export,Export(US$ Mil),          42128.21,          46792.10,          48970.43,          49797.85,          49132.64,          39331.38,          32370.92,          38228.30,          30315.64,          27165.60,          23516.13,          20377.55,          16266.71,          14712.67,          14893.67,          14760.99,          13149.91,          12844.12,          12589.03,          11275.89,          10351.56,           7973.90,           6134.50,           5225.35,           4780.13,           3396.77,           1618.25,
,World,Consumer goods,Export,Export(US$ Mil),         212511.23,         234408.40,         251034.70,         254497.16,         222474.21,         213538.74,         184509.67,         229941.22,         188018.40,         172440.62,         158207.62,         130468.52,         102911.66,          99679.88,          97587.20,          97487.00,          81310.78,          83102.93,          77951.41,          67000.10,          57334.22,          47521.32,          35981.46,          28400.22,          16526.06,          12634.80,           6942.32,
,World,Food Products,Export,Export(US$ Mil),          66748.35,          74939.37,          77889.29,          75427.30,          74332.62,          63295.13,          56732.71,          55773.46,          46181.54,          41004.88,          34346.16,          29813.01,          25682.18,          23303.43,          22675.38,          19938.19,          19485.42,          19988.83,          21998.68,          20946.94,          17164.48,          14031.99,          11313.61,           9034.25,           7062.36,           6670.97,           5289.44,
,World,Footwear,Export,Export(US$ Mil),           3732.23,           4100.09,           4003.30,           4148.27,           3956.32,           3672.94,           3265.83,           4094.67,           3933.97,           3681.83,           2906.09,           2727.71,           2404.89,           2263.14,           2277.06,           2250.69,           2000.13,           2123.78,           2459.16,           2315.11,           2097.85,           2183.37,           2521.36,           1935.54,           1537.66,           1315.80,           1317.64,
,World,Fuels,Export,Export(US$ Mil),          77934.27,         139409.30,         236634.50,         253265.91,         220848.30,         178622.89,         141915.91,         208035.20,          99843.76,         149003.75,         122014.75,          85229.62,          61373.32,          51175.18,          52304.29,          61889.68,          37833.07,          27497.58,          39708.85,          41265.60,          31419.60,          26814.48,          13402.72,          13589.00,          13121.93,          10594.18,            852.13,
,World,Hides and Skins,Export,Export(US$ Mil),           5260.96,           6391.20,           5699.54,           5085.94,           4969.99,           4433.14,           3214.73,           4892.86,           5317.77,           4676.63,           3885.41,           3625.60,           3105.95,           2849.79,           3033.74,           3046.10,           2589.82,           2722.47,           2971.61,           2716.26,           2642.64,           2226.91,           1665.14,            816.74,            631.88,            444.69,            324.69,
