"Data Source","World Development Indicators",

"Last Updated Date","2019-04-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Austria","AUT","Air transport, freight (million ton-km)","IS.AIR.GOOD.MT.K1","","","","","","","","","","","5.9000000954","3.0999999046","4.6999998093","6.3000001907","6.8000001907","6.5","8.1000003815","9.1999998093","10.3000001907","11.6999998093","11.6999998093","13.5","16.6000003815","17.2000007629","19.5","19.3999996185","19.6000003815","19.5","22.8999996185","41.5999984741","53.9000015259","59.2000007629","100.5999984741","129.6000061035","136.3999938965","173.3000030518","192.1000061035","236.3000030518","265.5","340.799987793","407.769","357.975","396.021","430.701","502.302","537.472","571.977","453.759","420.794","341.511","357.885","383.371","322.104","326.399","369.955","351.379","387.739","391.268","",
"Azerbaijan","AZE","Air transport, freight (million ton-km)","IS.AIR.GOOD.MT.K1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.8999996185","26.8999996185","24.8999996185","34.4000015259","27.6000003815","33","92.5","58.2000007629","47.211","65.995","75.954","67.109","34.361","11.916","15.746","11.897","12.032","7.388","7.8084","9.5921","13.0443","17.9216","385.14865","686.94149","732.789755","751.143129715","",
"Burundi","BDI","Air transport, freight (million ton-km)","IS.AIR.GOOD.MT.K1","","","","","","","","","","","","","","","","","","","","","0.1000000015","","","","","","","0.1000000015","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belgium","BEL","Air transport, freight (million ton-km)","IS.AIR.GOOD.MT.K1","","","","","","","","","","","184","202.3999938965","224.5","238.6000061035","286.1000061035","281.200012207","316.700012207","338.8999938965","375.799987793","395.200012207","394.5","441.5","479.1000061035","489.1000061035","525.4000244141","565","574.799987793","535.5","650.5","660.700012207","656.4000244141","485.799987793","386.299987793","478.200012207","515.200012207","594.5999755859","590.9000244141","677.5999755859","473","535.4000244141","1017.479","852.778","655.425","604.608","712.952","705.13","740.386","755.193","981.682","1427.499","1067.351","1241.293","1369.89982037629","1560.81076","1596.3044","1479.9763156","1505.4059084","1513.990699","",
"Benin","BEN","Air transport, freight (million ton-km)","IS.AIR.GOOD.MT.K1","","","","","","","","","","","5.8000001907","7.0999999046","8","8.3000001907","10.8000001907","11.5","13.1000003815","13","14.6000003815","17.1000003815","18","21","21","18.7000007629","17.3999996185","18.3999996185","16.5","16.2999992371","15.8999996185","18","17.7000007629","16.1000003815","15.1999998093","14.1999998093","14.3999996185","15.3000001907","16.3999996185","15.3000001907","13.5","13.6999998093","12.273","7.364","","","","","","","","","0","0.441834952","0.441834952","1.265124","0.553884","0.805347336","0.006442778","","",
"Burkina Faso","BFA","Air transport, freight (million ton-km)","IS.AIR.GOOD.MT.K1","","","","","","","","","","","5.8000001907","7.0999999046","8","8.3000001907","10.8000001907","11.5","13.1000003815","13","14.6999998093","17.1000003815","18","21","21","18.7999992371","17.3999996185","18.3999996185","16.5","16.2999992371","15.8999996185","18","17.7000007629","16.1000003815","15.1999998093","14.3000001907","14.5","15.3000001907","16.5","15.3000001907","13.5","13.6999998093","12.273","7.364","0","0","0","0","0","","","0","0.101","0.0858059556370593","0.0711111031412642","0.062208","0.05088","0.055868736","0.022020102","0.022108182","",
"Bangladesh","BGD","Air transport, freight (million ton-km)","IS.AIR.GOOD.MT.K1","","","","","","","","","","","","","","1.2000000477","2.7000000477","5.3000001907","9.3000001907","17","15.1000003815","19","19.6000003815","19.7999992371","19.8999996185","20.6000003815","53.0999984741","68.8000030518","70.8000030518","83.1999969482","76.5","84.0999984741","69.5","99.4000015259","82.5999984741","47.7000007629","160.6000061035","165.3000030518","135.6999969482","199.8000030518","144.8000030518","143.1000061035","193.867","169.602","171.582","175.496","180.432","183.493","190.831","89.026","84.219","0.013","164.424638607974","159.692783547366","152.319036972822","225.1869","207.73842","57.0095471847824","53.97916179","61.74997781","",
"Bulgaria","BGR","Air transport, freight (million ton-km)","IS.AIR.GOOD.MT.K1","","","","","","","","","","","4.9000000954","5.0999999046","5.5999999046","6.3000001907","6.5","6.5","7","7.1999998093","7.5999999046","8.1000003815","8.8999996185","9","9.5","10.5","11.6999998093","8","8.6999998093","9.6000003815","9","7.6999998093","8","5.9000000954","14.3999996185","27.1000003815","30.8999996185","29.8999996185","23.8999996185","31.6000003815","30.3999996185","12.3999996185","5.955","2.405","0.031","0.628","2.558","3.105","3.38","2.952","2.278","1.73","2.13518","2.29862","1.93406","1.731","1.722","1.53095","1.76924764650873","2.537","",
"Bahrain","BHR","Air transport, freight (million ton-km)","IS.AIR.GOOD.MT.K1","","","","","","","","","","","0.8000000119","1","1.1000000238","1.1000000238","2.2000000477","4","6.8000001907","8.1999998093","9.6000003815","14","26.2000007629","21.3999996185","21.6000003815","23.7999992371","30.7000007629","32.5999984741","31.3999996185","31.5","33.9000015259","40","44.2999992371","51.2000007629","69.8000030518","88.0999984741","122.0999984741","132.8000030518","105.8000030518","96.5999984741","104.5","209.1000061035","208.801","233.928","244.115","341.232","416.514","","","","","564.331","504.494","417.582988557635","338.071008606076","265.615452","258.367992","240.107004","387.310813088","390.39","",
"Bahamas, The","BHS","Air transport, freight (million ton-km)","IS.AIR.GOOD.MT.K1","","","","","","","","","","","","","","","","1.6000000238","1.8999999762","1.8999999762","2.0999999046","3","3","3.5","0.200000003","0.3000000119","0.200000003","0.200000003","0.3000000119","0.3000000119","0.3000000119","0.3000000119","0.3000000119","0.3000000119","0.3000000119","0.400000006","0.400000006","0.400000006","0.400000006","0.5","1.1000000238","1.5","1.598","1.764","1.637","1.644","0.59","0.571","0.561","0.568","0.586","0.489","0.073942936","0.0921231146396359","0.120103571080943","0.145272","0.176256","0.17273088","0.17480365","0.173580024","",
